"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PORTEZUELO","MU224","52,50","2016"
"MUNICIPALIDAD DE NOGALES","MU183","97,97","2016"
"MUNICIPALIDAD DE CASABLANCA","MU030","100,00","2016"
"MUNICIPALIDAD DE COCHAMÓ","MU049","100,00","2016"
"MUNICIPALIDAD DE SAN RAMÓN","MU301","94,30","2016"
"MUNICIPALIDAD DE HIJUELAS","MU102","100,00","2016"
"MUNICIPALIDAD DE LOS SAUCES","MU156","97,97","2016"
"MUNICIPALIDAD DE CONCEPCIÓN","MU061","100,00","2016"
"MUNICIPALIDAD DE CONCHALÍ","MU062","94,54","2016"
"MUNICIPALIDAD DE PUERTO AYSÉN","MU013","88,36","2016"
"MUNICIPALIDAD DE GALVARINO","MU097","100,00","2016"
"MUNICIPALIDAD DE RENCA","MU265","82,19","2016"
"MUNICIPALIDAD DE LONQUIMAY","MU150","94,30","2016"
"MUNICIPALIDAD DE SAN BERNARDO","MU281","98,10","2016"
"MUNICIPALIDAD DE NAVIDAD","MU180","52,50","2016"
"MUNICIPALIDAD DE TILTIL","MU319","94,30","2016"
"MUNICIPALIDAD DE DALCAHUE","MU079","96,20","2016"
"MUNICIPALIDAD DE SAN MIGUEL","MU294","40,46","2016"
"MUNICIPALIDAD DE COIHUECO","MU053","94,30","2016"
"MUNICIPALIDAD DE TALAGANTE","MU311","100,00","2016"
"MUNICIPALIDAD DE LA FLORIDA","MU120","96,44","2016"
"MUNICIPALIDAD DE PERALILLO","MU213","97,97","2016"
"MUNICIPALIDAD DE RETIRO","MU268","92,40","2016"
"MUNICIPALIDAD DE SAN PEDRO DE LA PAZ","MU299","100,00","2016"
"MUNICIPALIDAD DE PARRAL","MU204","83,97","2016"
"MUNICIPALIDAD DE PANQUEHUE","MU201","96,20","2016"
"MUNICIPALIDAD DE PITRUFQUÉN","MU222","100,00","2016"
"MUNICIPALIDAD DE LAMPA","MU132","100,00","2016"
"MUNICIPALIDAD DE QUINTA NORMAL","MU257","100,00","2016"
"MUNICIPALIDAD DE CHILLÁN","MU042","100,00","2016"
"MUNICIPALIDAD DE FRESIA","MU093","90,37","2016"
"MUNICIPALIDAD DE FRUTILLAR","MU094","97,97","2016"
"MUNICIPALIDAD DE CUREPTO","MU077","92,88","2016"
"MUNICIPALIDAD DE PAIHUANO","MU195","97,81","2016"
"MUNICIPALIDAD DE PAILLACO","MU196","82,49","2016"
