"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE MOLINA","MU174","88,60","2014"
"MUNICIPALIDAD DE PARRAL","MU204","99,50","2014"
"MUNICIPALIDAD DE PELARCO","MU206","95,00","2014"
"MUNICIPALIDAD DE PELLUHUE","MU207","19,00","2014"
"MUNICIPALIDAD DE LOS LAGOS","MU154",",00","2014"
"MUNICIPALIDAD DE MÁFIL","MU162","12,35","2014"
"MUNICIPALIDAD DE ALGARROBO","MU001","5,70","2014"
"MUNICIPALIDAD DE CABILDO","MU016","23,75","2014"
"MUNICIPALIDAD DE CALLE LARGA","MU023","100,00","2014"
"MUNICIPALIDAD DE CARTAGENA","MU029","23,75","2014"
"MUNICIPALIDAD DE CASABLANCA","MU030","80,05","2014"
"MUNICIPALIDAD DE CATEMU","MU032","91,45","2014"
"MUNICIPALIDAD DE CURANILAHUE","MU075","98,10","2014"
"MUNICIPALIDAD DE EL CARMEN","MU083","17,10","2014"
"MUNICIPALIDAD DE HIJUELAS","MU102","51,50","2014"
"MUNICIPALIDAD DE HUALQUI","MU106","71,50","2014"
"MUNICIPALIDAD DE ISLA DE PASCUA","MU114","5,70","2014"
"MUNICIPALIDAD DE JUAN FERNÁNDEZ","MU115","4,75","2014"
"MUNICIPALIDAD DE LA CALERA","MU116","6,65","2014"
"MUNICIPALIDAD DE LA CRUZ","MU118","32,30","2014"
"MUNICIPALIDAD DE LA LIGUA","MU123","17,10","2014"
"MUNICIPALIDAD DE FLORIDA","MU090","64,85","2014"
"MUNICIPALIDAD DE LEBU","MU137","97,15","2014"
"MUNICIPALIDAD DE NEGRETE","MU181","9,50","2014"
"MUNICIPALIDAD DE COLINA","MU057","100,00","2014"
"MUNICIPALIDAD DE HUALPÉN","MU105","100,00","2014"
"MUNICIPALIDAD DE LAJA","MU131","100,00","2014"
"MUNICIPALIDAD DE LO BARNECHEA","MU144","80,05","2014"
"MUNICIPALIDAD DE MARÍA PINTO","MU167","6,65","2014"
"MUNICIPALIDAD DE ÑUÑOA","MU186","21,85","2014"
"MUNICIPALIDAD DE PADRE HURTADO","MU193","67,82","2014"
"MUNICIPALIDAD DE PAINE","MU197","19,00","2014"
"MUNICIPALIDAD DE PEDRO AGUIRRE CERDA","MU205","64,02","2014"
"MUNICIPALIDAD DE PEÑAFLOR","MU211","80,05","2014"
"MUNICIPALIDAD DE PEÑALOLÉN","MU212","100,00","2014"
"MUNICIPALIDAD DE PINTO","MU220","28,50","2014"
"MUNICIPALIDAD DE PIRQUE","MU221","95,25","2014"
"MUNICIPALIDAD DE PROVIDENCIA","MU228","31,35","2014"
"MUNICIPALIDAD DE PUDAHUEL","MU231","20,90","2014"
"MUNICIPALIDAD DE PUENTE ALTO","MU232","87,65","2014"
"MUNICIPALIDAD DE PUQUELDÓN","MU240","47,50","2014"
"MUNICIPALIDAD DE PURRANQUE","MU242","100,00","2014"
"MUNICIPALIDAD DE PUYEHUE","MU245","47,50","2014"
"MUNICIPALIDAD DE QUEILÉN","MU246","47,50","2014"
"MUNICIPALIDAD DE QUELLÓN","MU247","98,10","2014"
"MUNICIPALIDAD DE QUEMCHI","MU248","100,00","2014"
"MUNICIPALIDAD DE ANDACOLLO","MU007","91,45","2014"
"MUNICIPALIDAD DE LOS VILOS","MU157","96,20","2014"
"MUNICIPALIDAD DE MONTE PATRIA","MU175","50,60","2014"
"MUNICIPALIDAD DE OVALLE","MU192","19,95","2014"
"MUNICIPALIDAD DE PAIHUANO","MU195","94,30","2014"
"MUNICIPALIDAD DE PITRUFQUÉN","MU222","65,15","2014"
"MUNICIPALIDAD DE PUCÓN","MU230","7,60","2014"
"MUNICIPALIDAD DE PUERTO SAAVEDRA","MU277","7,60","2014"
"MUNICIPALIDAD DE PUNITAQUI","MU238","19,95","2014"
