commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
NANCAGUA,LIBERTADOR BERNARDO O'HIGGINS,6305,https://www.municipalidadnancagua.cl/web/,09/11/2021,5:09 PM,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,39,46
NAVIDAD,LIBERTADOR BERNARDO O'HIGGINS,6205,https://www.muninavidad.cl/,09/11/2021,5:12 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,16,52
OLIVAR,LIBERTADOR BERNARDO O'HIGGINS,6111,https://www.muniolivar.cl/,09/11/2021,5:17 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,44,57
PALMILLA,LIBERTADOR BERNARDO O'HIGGINS,6306,https://www.munipalmilla.cl/,09/11/2021,5:18 PM,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,58,91
PAREDONES,LIBERTADOR BERNARDO O'HIGGINS,6206,http://www.comunaparedones.cl/,09/11/2021,5:23 PM,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,11,57
PERALILLO,LIBERTADOR BERNARDO O'HIGGINS,6307,https://muniperalillo.cl/,09/11/2021,5:28 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,64,68
PEUMO,LIBERTADOR BERNARDO O'HIGGINS,6112,https://mpeumo.cl/wp/,09/11/2021,5:33 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,40,75
PICHIDEGUA,LIBERTADOR BERNARDO O'HIGGINS,6113,https://pichidegua.cl/,09/11/2021,5:37 PM,,,,,,,,,,,,,,,,,,,,
PICHILEMU,LIBERTADOR BERNARDO O'HIGGINS,6201,https://www.pichilemu.cl/,09/11/2021,5:39 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,39,79
PLACILLA,LIBERTADOR BERNARDO O'HIGGINS,6308,https://site.muniplacilla.cl/,09/11/2021,5:41 PM,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,19,63
PUMANQUE,LIBERTADOR BERNARDO O'HIGGINS,6309,https://munipumanque.cl/new/,09/11/2021,5:57 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,54,88
QUINTA DE TILCOCO,LIBERTADOR BERNARDO O'HIGGINS,6114,http://www.quintadetilcoco.cl/,09/11/2021,6:00 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,16,53
RANCAGUA,LIBERTADOR BERNARDO O'HIGGINS,6101,https://rancagua.cl/,09/11/2021,6:03 PM,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,3,50
RENGO,LIBERTADOR BERNARDO O'HIGGINS,6115,https://www.municipalidadrengo.cl/,09/11/2021,6:06 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,5,47
REQUINOA,LIBERTADOR BERNARDO O'HIGGINS,6116,http://www.requinoa.cl/VIREQ/index.php?requinoa=movil_a&ide=322&side=333&titulo=AGENDA%20TELEFONICA&tit2=DEPARTAMENTO%20DE%20TR%C3%81NSITO,09/11/2021,6:09 PM,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,44,73
SAN FERNANDO,LIBERTADOR BERNARDO O'HIGGINS,6301,https://www.munisanfernando.cl/new/,09/11/2021,6:14 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,11,55
SANTA CRUZ,LIBERTADOR BERNARDO O'HIGGINS,6310,http://www.municipalidadsantacruz.cl/,09/11/2021,6:18 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,23,67
SAN VICENTE,LIBERTADOR BERNARDO O'HIGGINS,6117,https://www.municipalidadsanvicente.cl/,09/11/2021,6:20 PM,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,31,85
CAUQUENES,MAULE,7201,https://www.cauquenes.cl/,10/11/2021,11:20 AM,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,25,55
CHANCO,MAULE,7202,https://chanco.cl/,10/11/2021,11:23 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,,
COLBUN,MAULE,7402,https://www.municipalidadcolbun.cl,10/11/2021,11:28 AM,,,,,,,,,,,,,,,,,,,,
CONSTITUCION,MAULE,7102,http://www.constitucion.cl/,10/11/2021,11:29 AM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,48,70
CUREPTO,MAULE,7103,http://www.curepto.cl/mcurepto_web/,10/11/2021,11:32 AM,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,13,49
CURICO,MAULE,7301,https://web.curico.cl/,10/11/2021,11:36 AM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,38,44
EMPEDRADO,MAULE,7104,https://empedrado.cl/,10/11/2021,11:40 AM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,9,27
HUALAÑE,MAULE,7302,https://hualane.cl/SitioMunicipal/,10/11/2021,11:42 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,16,55
LICANTEN,MAULE,7303,https://mlicanten.cl/,10/11/2021,11:45 AM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,12,19
LINARES,MAULE,7401,https://www.munilinares.cl/,10/11/2021,11:48 AM,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,30,51
LONGAVI,MAULE,7403,https://municipalidadlongavi.cl/,10/11/2021,12:09 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,9,23
MAULE,MAULE,7105,http://www.comunademaule.cl/2016/,10/11/2021,12:13 PM,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,66,68
MOLINA,MAULE,7304,https://web.molina.cl/,10/11/2021,12:16 PM,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,22,27
PARRAL,MAULE,7404,https://www.parral.cl/,10/11/2021,12:19 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,,60
PELARCO,MAULE,7106,https://www.pelarco.cl/portal/,10/11/2021,12:22 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,23,48
PELLUHUE,MAULE,7203,https://www.munipelluhue.cl/,10/11/2021,12:26 PM,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,3,17
PENCAHUE,MAULE,7107,https://www.mpencahue.cl/,10/11/2021,12:30 PM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,
RAUCO,MAULE,7305,https://www.munirauco.cl/sitio/,10/11/2021,12:35 PM,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,16,20
RETIRO,MAULE,7405,https://www.retiro.cl/,10/11/2021,12:39 PM,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,36,59
RIO CLARO,MAULE,7108,https://rioclaro.cl/site/,10/11/2021,12:41 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,20,39
ROMERAL,MAULE,7306,https://muniromeral.cl/romeral/,10/11/2021,12:44 PM,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,43,62
SAGRADA FAMILIA,MAULE,7307,https://www.sagradafamilia.cl/2020/,10/11/2021,12:48 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,,
SAN CLEMENTE,MAULE,7109,https://www.sanclemente.cl/,10/11/2021,12:52 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,18,31
SAN JAVIER,MAULE,7406,https://imsanjavier.cl/municipio/,10/11/2021,12:56 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,9,43
SAN RAFAEL,MAULE,7110,https://munisanrafael.cl/,10/11/2021,1:04 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,66,73
TALCA,MAULE,7101,https://www.talca.cl/,10/11/2021,1:06 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,20,46
TENO,MAULE,7308,https://www.teno.cl/webteno/,10/11/2021,1:10 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,55,71
VICHUQUEN,MAULE,7309,https://www.munivichuquen.cl/,10/11/2021,1:12 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,41,74
VILLA ALEGRE,MAULE,7407,http://villalegre.cl/,10/11/2021,1:15 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,57,88
YERBAS BUENAS,MAULE,7408,http://www.muniyerbasbuenas.cl/web/,10/11/2021,1:19 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,33,63
ALTO BIOBIO,BIOBIO,8314,https://munialtobiobio.cl/,10/11/2021,1:23 PM,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,24,44
ANTUCO,BIOBIO,8302,https://www.municipalidadantuco.cl/,10/11/2021,1:26 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,66,89
ARAUCO,BIOBIO,8202,http://www.muniarauco.cl/,10/11/2021,3:24 PM,,,,,,,,,,,,,,,,,,,,
BULNES,ÑUBLE,16102,http://imb.cl/,10/11/2021,3:26 PM,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,34,50
CABRERO,BIOBIO,8303,http://www.cabrero.cl/,10/11/2021,3:30 PM,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,32,43
CAÑETE,BIOBIO,8203,https://municanete.cl/,10/11/2021,3:34 PM,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,43,61
CHIGUAYANTE,BIOBIO,8103,https://www.chiguayante.cl/,10/11/2021,3:36 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,36,44
CHILLAN,ÑUBLE,16101,https://www.municipalidadchillan.cl/sitio/,10/11/2021,3:40 PM,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,41,66
CHILLAN VIEJO,ÑUBLE,16103,https://chillanviejo.cl/,10/11/2021,3:43 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,30,55
COBQUECURA,ÑUBLE,16202,https://cobquecura.cl/,10/11/2021,3:46 PM,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,4,54
COELEMU,ÑUBLE,16203,http://www.municoelemu.cl/,10/11/2021,3:49 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,13,18
COIHUECO,ÑUBLE,16302,https://municoihueco.cl/Inicio/,10/11/2021,3:52 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,17,26
CONCEPCION,BIOBIO,8101,https://concepcion.cl/,10/11/2021,3:55 PM,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,13,44
CONTULMO,BIOBIO,8204,https://www.contulmo.cl/,10/11/2021,4:01 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,13,51
CORONEL,BIOBIO,8102,http://www.coronel.cl/,10/11/2021,4:04 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,12,59
CURANILAHUE,BIOBIO,8205,http://www.munichue.cl/,10/11/2021,4:43 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,14,40
EL CARMEN,ÑUBLE,16104,http://portal.municipalidadelcarmen.cl/,10/11/2021,4:48 PM,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,
FLORIDA,BIOBIO,8104,https://muniflorida.cl/,10/11/2021,4:53 PM,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,23,75
HUALPEN,BIOBIO,8112,http://www.hualpenciudad.cl/,10/11/2021,4:58 PM,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,10,44
HUALQUI,BIOBIO,8105,https://www.munihualqui.cl/,10/11/2021,5:01 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,71,79
LAJA,BIOBIO,8304,https://munilaja.cl/,10/11/2021,5:04 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,28,71
LEBU,BIOBIO,8201,https://www.lebu.cl/,10/11/2021,5:07 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,78,68
LOS ALAMOS,BIOBIO,8206,https://www.munilosalamos.cl/web/,10/11/2021,5:10 PM,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,20,82
LOS ANGELES,BIOBIO,8301,https://www.losangeles.cl/,10/11/2021,5:13 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,20,53
LOTA,BIOBIO,8106,https://www.lota.cl,10/11/2021,5:16 PM,,,,,,,,,,,,,,,,,,,,
MULCHEN,BIOBIO,8305,https://www.munimulchen.cl/,10/11/2021,5:17 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,52,69
NACIMIENTO,BIOBIO,8306,https://www.nacimiento.cl/index.php/es/,10/11/2021,5:26 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,16,43
NEGRETE,BIOBIO,8307,https://www.muninegrete.cl/,10/11/2021,5:29 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,37,87
NINHUE,ÑUBLE,16204,https://munininhue.cl/,10/11/2021,5:31 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,22,71
ÑIQUEN,ÑUBLE,16303,https://www.muniniquen.cl/Sitio_Municipalidad/web/,10/11/2021,5:36 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,20,
PEMUCO,ÑUBLE,16105,https://www.munipemuco.cl/,10/11/2021,5:39 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,40,63
PENCO,BIOBIO,8107,http://penco.cl/,10/11/2021,5:43 PM,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,23,45
PINTO,ÑUBLE,16106,https://www.municipalidaddepinto.cl/,11/11/2021,11:21 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,17
PORTEZUELO,ÑUBLE,16205,http://www.municipalidaddeportezuelo.cl/Portada/,11/11/2021,11:26 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3,38
QUILACO,BIOBIO,8308,https://www.municipalidadquilaco.cl/web/,11/11/2021,11:43 AM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,58,63
QUILLECO,BIOBIO,8309,https://www.municipalidadquilleco.cl/,11/11/2021,11:46 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,21,23
QUILLON,ÑUBLE,16107,https://home.quillon.cl/,11/11/2021,11:49 AM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,,
QUIRIHUE,ÑUBLE,16201,https://www.municipalidadquirihue.cl/?fbclid=IwAR2giqRmS1K6kVC_bvzgXoQyTGpfxwOeEOISJ_tMio3Eph_I8YmXek55724,11/11/2021,11:55 AM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,39,68
RANQUIL,ÑUBLE,16206,https://www.municipalidadranquil.cl/,11/11/2021,11:58 AM,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,63,83
SAN CARLOS,ÑUBLE,16301,https://sancarlos.cl/munisancarlos.cl/web/,11/11/2021,12:03 PM,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,7,45
SAN FABIAN,ÑUBLE,16304,http://www.sanfabian.cl/,11/11/2021,12:08 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,49,88
SAN IGNACIO,ÑUBLE,16108,https://www.munisanignacio.cl/,11/11/2021,12:11 PM,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,14,57
SAN NICOLAS,ÑUBLE,16305,https://www.municipalidadsannicolas.cl/,11/11/2021,12:15 PM,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,55,90
SAN PEDRO DE LA PAZ,BIOBIO,8108,https://sanpedrodelapaz.cl/,11/11/2021,12:18 PM,,,,,,,,,,,,,,,,,,,,
SAN ROSENDO,BIOBIO,8310,https://municipalidadsanrosendo.cl/,11/11/2021,12:19 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,30,66
SANTA BARBARA,BIOBIO,8311,https://www.santabarbara.cl/,11/11/2021,12:24 PM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,17,44
SANTA JUANA,BIOBIO,8109,https://www.santajuana.cl/,11/11/2021,12:27 PM,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,55
TALCAHUANO,BIOBIO,8110,https://www.talcahuano.cl/,11/11/2021,12:31 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,14,16
TIRUA,BIOBIO,8207,http://www.munitirua.com/,11/11/2021,12:37 PM,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,40
TOME,BIOBIO,8111,https://www.tome.cl/,11/11/2021,12:40 PM,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,23,35
TREHUACO,ÑUBLE,16207,https://www.trehuaco.com/Wordpress/,11/11/2021,12:44 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,40,58
TUCAPEL,BIOBIO,8312,https://www.municipalidadtucapel.cl/,11/11/2021,12:47 PM,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,18,42
YUMBEL,BIOBIO,8313,https://www.yumbel.cl/,11/11/2021,12:52 PM,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,64,83
YUNGAY,ÑUBLE,16109,www.yungay.cl,11/11/2021,1:04 PM,,,,,,,,,,,,,,,,,,,,
ANGOL,DE LA ARAUCANIA,9201,https://www.angol.cl/,11/11/2021,1:05 PM,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,
CARAHUE,DE LA ARAUCANIA,9102,http://carahue.cl/wp/,11/11/2021,1:09 PM,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,26,77
CHOLCHOL,DE LA ARAUCANIA,9121,https://www.municholchol.cl/,11/11/2021,1:13 PM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,43,93
COLLIPULLI,DE LA ARAUCANIA,9202,https://www.sitio.municipalidadcollipulli.cl/,11/11/2021,1:16 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,72,65
CUNCO,DE LA ARAUCANIA,9103,https://municunco.cl/,11/11/2021,1:20 PM,,,,,,,,,,,,,,,,,,,,
CURACAUTIN,DE LA ARAUCANIA,9203,http://www.mcuracautin.cl/,11/11/2021,1:24 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,33,84
CURARREHUE,DE LA ARAUCANIA,9104,https://curarrehue.cl/on/,11/11/2021,1:27 PM,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,23,48
ERCILLA,DE LA ARAUCANIA,9204,http://muniercilla.cl/2018/,11/11/2021,1:32 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,52,81
FREIRE,DE LA ARAUCANIA,9105,https://www.munifreire.cl/,11/11/2021,1:38 PM,,,,,,,,,,,,,,,,,,,,
GALVARINO,DE LA ARAUCANIA,9106,http://www.galvarinochile.cl/webv2/,11/11/2021,1:39 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,37,73
GORBEA,DE LA ARAUCANIA,9107,https://home.municipalidadgorbea.cl/,11/11/2021,1:41 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,33,56
LAUTARO,DE LA ARAUCANIA,9108,https://munilautaro.cl/,11/11/2021,1:44 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,,
LONCOCHE,DE LA ARAUCANIA,9109,https://municipalidaddeloncoche.cl/,11/11/2021,1:52 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,35,55
LONQUIMAY,DE LA ARAUCANIA,9205,https://www.mlonquimay.cl/web/,11/11/2021,1:54 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,31,45
LOS SAUCES,DE LA ARAUCANIA,9206,http://munilossauces.com/,11/11/2021,1:56 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,44,81
LUMACO,DE LA ARAUCANIA,9207,https://www.munilumaco.cl/,11/11/2021,1:59 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,37,46
MELIPEUCO,DE LA ARAUCANIA,9110,https://municipalidadmelipeuco.cl/,11/11/2021,2:04 PM,,,,,,,,,,,,,,,,,,,,
NUEVA IMPERIAL,DE LA ARAUCANIA,9111,https://www.nuevaimperial.cl/,11/11/2021,2:05 PM,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,40,52
PADRE LAS CASAS,DE LA ARAUCANIA,9112,http://www.padrelascasas.cl/newplc/,11/11/2021,2:09 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,9,43
PERQUENCO,DE LA ARAUCANIA,9113,http://www.perquenco.cl/,11/11/2021,2:13 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,15,42
PITRUFQUEN,DE LA ARAUCANIA,9114,http://www.mpitrufquen.cl/,11/11/2021,2:17 PM,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,19,45
PUCON,DE LA ARAUCANIA,9115,https://municipalidadpucon.cl/,11/11/2021,2:21 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,35,57
PUREN,DE LA ARAUCANIA,9208,http://www.munipuren.cl/Puren/,11/11/2021,2:24 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,47,75
RENAICO,DE LA ARAUCANIA,9209,https://renaico.cl/site/,12/11/2021,12:51 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,19,33
SAAVEDRA,DE LA ARAUCANIA,9116,https://munisaavedra.cl/,12/11/2021,12:54 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,20,54
TEMUCO,DE LA ARAUCANIA,9101,https://www.temuco.cl/,12/11/2021,1:01 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,13,31
TEODORO SCHMIDT,DE LA ARAUCANIA,9117,http://muniteodoro.cl/portal/,12/11/2021,1:05 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,11,54
TOLTEN,DE LA ARAUCANIA,9118,http://www.tolten.cl/web/,12/11/2021,1:08 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,19,62
TRAIGUEN,DE LA ARAUCANIA,9210,https://mtraiguen.cl/,12/11/2021,1:10 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,34,74
VICTORIA,DE LA ARAUCANIA,9211,http://www.victoriachile.cl/,12/11/2021,1:14 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,6,27
VILCUN,DE LA ARAUCANIA,9119,https://www.vilcun.cl/web/,12/11/2021,1:17 PM,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,39,80
VILLARRICA,DE LA ARAUCANIA,9120,https://www.munivillarrica.cl/,12/11/2021,1:24 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,14,35
CORRAL,DE LOS RIOS,14102,http://www.municipalidadcorral.cl/,12/11/2021,1:27 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,35,43
FUTRONO,DE LOS RIOS,14202,https://www.munifutrono.cl/,12/11/2021,1:30 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,21,67
LAGO RANCO ,DE LOS RIOS,14203,http://www.municipalidadlagoranco.cl/web/,12/11/2021,1:39 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,27
LANCO,DE LOS RIOS,14103,https://www.munilanco.cl/,12/11/2021,1:43 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,33,70
LA UNION,DE LOS RIOS,14201,https://www.munilaunioninfo.com/,12/11/2021,1:46 PM,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,19,62
LOS LAGOS,DE LOS RIOS,14104,https://www.muniloslagos.cl/,12/11/2021,1:50 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,23,33
MAFIL,DE LOS RIOS,14105,https://www.munimafil.cl/,12/11/2021,1:53 PM,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,29,41
MARIQUINA,DE LOS RIOS,14106,http://munimariquina.cl/,12/11/2021,1:56 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,26,16
PAILLACO,DE LOS RIOS,14107,https://www.munipaillaco.cl/,12/11/2021,2:04 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,33,73
PANGUIPULLI,DE LOS RIOS,14108,https://municipalidadpanguipulli.cl/?fbclid=IwAR0PIThYhFtftd1Nlzm127zVps2R8CWwjMb5ASV4BiC0Do4AcPkl7ro1yXE,12/11/2021,2:08 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,11,46
RIO BUENO,DE LOS RIOS,14204,https://www.muniriobueno.cl/,12/11/2021,2:12 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,20,40
VALDIVIA,DE LOS RIOS,14101,https://www.munivaldivia.cl/,12/11/2021,2:14 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,13,35
ANCUD,LOS LAGOS,10202,https://www.muniancud.cl/portal/,12/11/2021,2:19 PM,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,21,56
CALBUCO,LOS LAGOS,10102,https://www.municipalidadcalbuco.cl/,12/11/2021,2:23 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,10,86
CASTRO,LOS LAGOS,10201,https://www.castromunicipio.cl/,12/11/2021,2:29 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,19,65
CHAITEN,LOS LAGOS,10401,https://www.municipalidadchaiten.cl/,12/11/2021,2:42 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,55,87
CHONCHI,LOS LAGOS,10203,https://www.municipalidadchonchi.cl/,12/11/2021,2:45 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,32,54
COCHAMO,LOS LAGOS,10103,https://municochamo.cl/,12/11/2021,2:48 PM,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,72,91
CURACO DE VELEZ,LOS LAGOS,10204,http://curacodevelez.cl/2014/,12/11/2021,2:51 PM,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,43,61
DALCAHUE,LOS LAGOS,10205,http://www.munidalcahue.cl/portal/,12/11/2021,2:54 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,28,35
