commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
LA HIGUERA,COQUIMBO,4104,https://www.munilahiguera.cl/,04/11/2021,12:45 PM,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,55,68
LA SERENA,COQUIMBO,4101,http://www.laserena.cl/,04/11/2021,12:50 PM,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,
LOS VILOS,COQUIMBO,4203,https://www.munilosvilos.cl/,04/11/2021,12:55 PM,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,44,78
MONTE PATRIA,COQUIMBO,4303,https://www.munimontepatria.cl/web/,04/11/2021,1:08 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,11,51
OVALLE,COQUIMBO,4301,https://municipalidadovalle.cl/sitio/,04/11/2021,1:13 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,16,49
PAIHUANO,COQUIMBO,4105,https://www.munipaihuano.cl/,04/11/2021,1:16 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,34
PUNITAQUI,COQUIMBO,4304,https://www.munipunitaqui.cl/,04/11/2021,1:19 PM,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,42,66
RIO HURTADO,COQUIMBO,4305,https://riohurtado.cl/,04/11/2021,1:23 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,28,46
SALAMANCA,COQUIMBO,4204,https://www.salamanca.cl/,04/11/2021,1:27 PM,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,43,65
VICUÑA,COQUIMBO,4106,https://www.municipalidadvicuna.cl/,04/11/2021,1:31 PM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,26,54
ALGARROBO,VALPARAISO,5602,http://200.50.125.18/,04/11/2021,1:38 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,30,54
CABILDO,VALPARAISO,5402,https://municipiocabildo.cl/,04/11/2021,1:44 PM,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,16,62
CALERA,VALPARAISO,5502,https://lacalera.cl/,04/11/2021,1:49 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,,
CALLE LARGA,VALPARAISO,5302,https://www.municallelarga.cl/,04/11/2021,1:53 PM,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,31,67
CARTAGENA,VALPARAISO,5603,https://www.municipalidadcartagena.cl/,04/11/2021,1:58 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,22,69
CASABLANCA,VALPARAISO,5102,https://municipalidadcasablanca.cl/index.php,04/11/2021,2:05 PM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43,61
CATEMU,VALPARAISO,5702,https://www.municatemu.cl/,04/11/2021,2:14 PM,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,83
CONCON,VALPARAISO,5103,https://www.concon.cl/,04/11/2021,2:17 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,28,55
EL QUISCO,VALPARAISO,5604,https://www.elquisco.cl/,04/11/2021,2:22 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,4,37
EL TABO,VALPARAISO,5605,https://www.eltabo.cl/web2/,04/11/2021,2:26 PM,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,33,47
HIJUELAS,VALPARAISO,5503,https://www.hijuelas.cl/,05/11/2021,11:17 AM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,65,91
ISLA DE PASCUA,VALPARAISO,5201,https://www.rapanui.net/,05/11/2021,11:21 AM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,44,76
JUAN FERNANDEZ,VALPARAISO,5104,http://www.comunajuanfernandez.cl/?fbclid=IwAR3bXNpmJunT1sBTtfqms-F4AWBceB2vlQSlFaXIKcHze6DRJthd0oJ9ojY,05/11/2021,11:25 AM,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,27,67
LA CRUZ,VALPARAISO,5504,https://lacruz.cl/,05/11/2021,11:29 AM,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,40,65
LA LIGUA,VALPARAISO,5401,https://www.comunadelaligua.cl/,05/11/2021,11:33 AM,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,3,19
LIMACHE,VALPARAISO,5802,https://limache.cl/,05/11/2021,11:39 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,19,57
LLAY-LLAY,VALPARAISO,5703,https://www.municipalidadllayllay.cl/,05/11/2021,11:43 AM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,15,15
LOS ANDES,VALPARAISO,5301,http://www.losandes.cl/,05/11/2021,11:46 AM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,4,25
NOGALES,VALPARAISO,5506,https://muninogales.cl/,05/11/2021,11:50 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,66,96
OLMUE,VALPARAISO,5803,https://www.muniolmue.cl/,05/11/2021,11:54 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,64,90
PANQUEHUE,VALPARAISO,5704,http://www.impanquehue.cl/,05/11/2021,11:59 AM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,26,52
PAPUDO,VALPARAISO,5403,http://www.municipalidadpapudo.cl/,05/11/2021,12:16 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,47,55
PETORCA,VALPARAISO,5404,https://municipalidadpetorca.cl/v1/,05/11/2021,12:21 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,19,81
PUCHUNCAVI,VALPARAISO,5105,https://www.munipuchuncavi.cl/,05/11/2021,12:30 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,35,69
PUTAENDO,VALPARAISO,5705,https://www.putaendo.cl/,05/11/2021,12:26 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,28,57
QUILLOTA,VALPARAISO,5501,https://quillota.cl/municipalidad/,05/11/2021,12:36 PM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,12,65
QUILPUE,VALPARAISO,5801,https://www.quilpue.cl/,05/11/2021,12:41 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,34,76
QUINTERO,VALPARAISO,5107,https://www.muniquintero.cl/,05/11/2021,12:49 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,27,31
RINCONADA,VALPARAISO,5303,https://munirinconada.cl/medaconfianza/,05/11/2021,12:52 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,23,54
SAN ANTONIO,VALPARAISO,5601,https://www.sanantonio.cl/,05/11/2021,12:55 PM,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,12,36
SAN ESTEBAN,VALPARAISO,5304,https://www.munisanesteban.cl/home,05/11/2021,12:58 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,32,29
SAN FELIPE,VALPARAISO,5701,https://www.munisanfelipe.cl/,05/11/2021,1:01 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,6,21
SANTA MARIA,VALPARAISO,5706,https://imsantamaria.com/,05/11/2021,1:06 PM,,,,,,,,,,,,,,,,,,,,
SANTO DOMINGO,VALPARAISO,5606,https://santodomingo.cl/,05/11/2021,1:08 PM,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,51,73
VALPARAISO,VALPARAISO,5101,https://web.municipalidaddevalparaiso.cl/,05/11/2021,1:11 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,19,43
VILLA ALEMANA,VALPARAISO,5804,https://www.villalemana.cl/,05/11/2021,1:16 PM,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,22,39
VIÑA DEL MAR,VALPARAISO,5109,https://www.munivina.cl/,05/11/2021,1:19 PM,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,,
ZAPALLAR,VALPARAISO,5405,https://www.munizapallar.cl/,05/11/2021,1:23 PM,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,72,96
ALHUE,METROPOLITANA,13502,https://municipalidadalhue.cl/portal/,08/11/2021,11:57 AM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,,
BUIN,METROPOLITANA,13402,https://www.buin.cl/,08/11/2021,12:01 PM,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,28,56
CALERA DE TANGO,METROPOLITANA,13403,https://municaleradetango.cl/,08/11/2021,12:05 PM,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,38,59
CERRILLOS,METROPOLITANA,13102,http://www.mcerrillos.cl/cerrillos/,08/11/2021,12:07 PM,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,21,37
CERRO NAVIA,METROPOLITANA,13103,https://www.cerronavia.cl/,08/11/2021,12:11 PM,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,11,9
COLINA,METROPOLITANA,13301,https://www.colina.cl/,08/11/2021,12:15 PM,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,14,44
CONCHALI,METROPOLITANA,13104,https://www.conchali.cl/,08/11/2021,12:19 PM,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,9,46
CURACAVI,METROPOLITANA,13503,https://www.municipalidadcuracavi.cl/,08/11/2021,12:33 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19,48
EL BOSQUE,METROPOLITANA,13105,https://www.municipalidadelbosque.cl/,08/11/2021,12:37 PM,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,18,62
EL MONTE,METROPOLITANA,13602,https://www.munielmonte.cl/,08/11/2021,12:42 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,47,83
ESTACION CENTRAL,METROPOLITANA,13106,https://municipalidadestacioncentral.cl/,08/11/2021,12:44 PM,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,16,
HUECHURABA,METROPOLITANA,13107,https://www.huechuraba.cl/,08/11/2021,12:48 PM,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,22,28
INDEPENDENCIA,METROPOLITANA,13108,https://www.independencia.cl/,08/11/2021,12:50 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,11,44
ISLA DE MAIPO,METROPOLITANA,13603,http://www.islademaipo.cl/,08/11/2021,12:54 PM,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,38,76
LA CISTERNA,METROPOLITANA,13109,https://www.cisterna.cl/home,08/11/2021,12:57 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,6,36
LA FLORIDA,METROPOLITANA,13110,https://www.laflorida.cl/sitio/,08/11/2021,1:02 PM,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,17,29
LA GRANJA,METROPOLITANA,13111,https://www.municipalidadlagranja.cl/,08/11/2021,1:07 PM,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,6,32
LAMPA,METROPOLITANA,13302,https://www.lampa.cl/inicio/,08/11/2021,1:12 PM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,29
LA PINTANA,METROPOLITANA,13112,https://www.pintana.cl/,08/11/2021,1:28 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,21,38
LA REINA,METROPOLITANA,13113,https://www.lareina.cl/,08/11/2021,1:33 PM,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,31,52
LAS CONDES,METROPOLITANA,13114,https://www.lascondes.cl/,08/11/2021,1:37 PM,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,,
LO BARNECHEA,METROPOLITANA,13115,https://lobarnechea.cl/,08/11/2021,1:44 PM,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,16,55
LO ESPEJO,METROPOLITANA,13116,https://www.loespejo.cl/,08/11/2021,1:49 PM,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,12,56
LO PRADO,METROPOLITANA,13117,https://loprado.cl/,08/11/2021,1:53 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,24,65
MACUL,METROPOLITANA,13118,https://www.munimacul.cl/,08/11/2021,2:01 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,10,41
MAIPU,METROPOLITANA,13119,https://www.municipalidadmaipu.cl/,08/11/2021,2:05 PM,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,18,58
