cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
10103,COCHAMÓ,1547733,238855,440761,18.18,31.82,,,,1.03,3253,4016,4023,0
10104,FRESIA,2127733,454802,708587,31.48,50,300,1,0,9.91,9892,12660,4930,7331
10105,FRUTILLAR,1983192,1350331,1986955,35.85,35.85,288,0,1,24.11,15216,20034,5476,12952
10106,LOS MUERMOS,2507199,509495,750837,17.78,40,565,1,1,14.27,13730,17786,8962,8106
10107,LLANQUIHUE,2194500,1066643,1444189,,,,,,44,14187,18525,3369,14222
10108,MAULLÍN,3432752,244890,586785,28.89,44.44,413,1,0,17.33,11830,14917,7590,6626
10109,PUERTO VARAS,1728727,5521471,8635426,32.41,43.45,343,1,1,11.77,35716,47845,12368,32210
10201,CASTRO,9070377,2602029,4492926,35.71,37.66,525,1,0,99.82,35687,47214,9763,34044
10202,ANCUD,6386888,1210171,2279353,23.2,48,3394,1,1,24.19,32590,42379,10726,28265
10203,CHONCHI,2723102,1056760,1424677,37.74,45.28,578,1,0,11.68,12110,15909,9144,5714
10204,CURACO DE VÉLEZ,1875303,86769,242119,46.88,53.13,108,1,1,50.51,3033,4041,2723,1106
10205,DALCAHUE,2666364,519440,843359,33.33,52.63,214,1,0,12.06,11221,14944,6562,7200
10206,PUQUELDÓN,1625351,84644,333009,,,,,,43.29,3325,4199,3921,0
10207,QUEILÉN,1977661,102075,329689,33.33,36.11,117,1,0,16.62,4234,5534,3062,2323
10208,QUELLÓN,3615163,1091138,1898601,34.25,39.73,542,1,0,8.95,21323,29043,9378,17814
10209,QUEMCHI,2592867,192459,844033,40.35,38.6,532,1,0,19.95,6844,8780,5840,2512
10210,QUINCHAO,2537101,144260,666334,45.24,40.48,230,0,0,51.68,6425,8320,4879,3209
10301,OSORNO,10457733,10260933,17477094,24.02,40.21,3808,1,1,181.22,131776,172336,13634,147826
10302,PUERTO OCTAY,1447501,634397,960023,30.3,30.3,189,1,0,5.13,7111,9216,6946,2053
10303,PURRANQUE,2648551,991965,1502935,47.06,44.12,276,1,1,14.45,16228,21081,5966,14403
10304,PUYEHUE,1542961,1021385,1229407,,,,,,7.36,9120,11760,6669,4998
10305,RÍO NEGRO,2040550,681337,951724,51.22,41.46,292,1,0,11.3,11147,14303,7101,6984
10306,SAN JUAN DE LA COSTA,3023264,207546,299677,36.36,40.91,507,0,1,5.07,6151,7690,6342,1170
10307,SAN PABLO,1840170,636208,840822,,,,,,16.56,8279,10547,5421,4609
10401,CHAITÉN,2062693,307931,1182824,33.33,28.57,155,1,0,0.59,3916,5001,3428,1643
10402,FUTALEUFÚ,2002267,116666,184705,43.48,26.09,123,1,1,2.16,2167,2770,765,1858
10403,HUALAIHUÉ,2281924,268770,688771,38.71,35.48,214,1,0,3.4,7096,9487,5303,3641
10404,PALENA,1382549,75394,155294,54.84,29.03,66,0,1,0.66,1444,1822,636,1075
11101,COYHAIQUE,7311975,3065491,5407108,39.84,49.59,555,1,1,,44304,60822,7850,49968
11102,LAGO VERDE,1403743,135270,203112,,,,,,,743,919,852,0
11201,AYSÉN,4601516,1594567,2755243,22.37,40.79,201,,,,18145,24880,3651,20308
11202,CISNES,1907826,464434,2227033,34.29,45.71,177,1,0,,4333,5801,2403,4114
11203,GUAITECAS,1377777,247366,480202,21.05,31.58,15,1,1,,1176,1591,138,1705
11301,COCHRANE,1763121,142980,209405,53.33,33.33,237,1,0,,2738,3660,649,2841
11302,O´HIGGINS,1382262,30316,42305,50,25,29,0,1,,512,655,625,0
11303,TORTEL,1431524,18842,31006,52.94,41.18,17,1,0,,422,567,523,0
11401,CHILE CHICO,3019032,291033,532969,50,42.86,95,0,1,,3913,5096,1703,3162
11402,RÍO IBÁÑEZ,1770410,94360,156830,52.63,42.11,153,1,1,,2188,2689,2666,0
12101,PUNTA ARENAS,8062880,10871859,18103734,34.56,49.08,986,1,1,7.85,108705,140132,5660,125932
12102,LAGUNA BLANCA,1192233,66208,122385,,,,,,0.07,212,266,274,0
12103,RÍO VERDE,1126748,281551,751515,45,20,9,1,0,0.01,195,213,617,0
12104,SAN GREGORIO,1137340,177014,250965,33.33,37.5,7,0,0,0.1,557,686,799,0
12201,CABO DE HORNOS,2649695,247661,309657,14.29,47.62,34,1,0,0.09,1371,1976,189,1874
12301,PORVENIR,1952821,513296,995713,31.25,33.33,57,1,1,0.74,5571,7190,739,6062
12302,PRIMAVERA,1185889,125854,236720,44.44,33.33,6,1,0,0.11,576,696,1158,0
12303,TIMAUKEL,1190283,67628,90575,44.44,55.56,3,0,0,0.03,244,283,405,0
12401,NATALES,3726776,1520491,3530474,28.89,48.89,310,1,1,0.47,18180,23413,2297,19180
12402,TORRES DEL PAINE,1201526,358058,423662,59.09,40.91,5,1,0,0.15,928,998,1209,0
13101,SANTIAGO,4750173,66124259,114411004,12.99,27.54,931,1,1,22129,420642,486838,0,404495
13102,CERRILLOS,4059794,11197232,14214551,24.81,54.89,,1,0,4191.24,67419,88016,0,80832
13103,CERRO NAVIA,16357627,1475329,2982121,22.75,44.01,520,1,0,12854.73,108828,141402,0,132622
13104,CONCHALÍ,9465823,6472441,9170336,17.21,43.36,459,1,1,12469.27,107507,137162,0,126955
13105,EL BOSQUE,19370573,2367237,5241310,26.38,57.29,561,1,0,12249.07,131017,171487,0,162505
13106,ESTACIÓN CENTRAL,4824151,11090554,19476021,19.76,48.02,2064,1,1,13316.14,150366,186426,0,147041
13107,HUECHURABA,3212224,27174216,32151440,38.24,57.06,831,1,1,2436.22,80068,109630,99,98572
13108,INDEPENDENCIA,3775596,5804661,10692451,22.77,41.58,215,1,1,18527.29,104988,129691,0,100281
13109,LA CISTERNA,3187426,4063929,10256812,20.08,47.73,423,1,1,9879,78534,98790,0,90119
13110,LA FLORIDA,30339674,21808673,33539774,32.16,52.3,799,1,1,5588.46,311924,396781,117,366799
