cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
1101,IQUIQUE,4344323,22970644,32568502,38.35,43.86,1782,1,1,100.41,173861,227127,3799,223328
1107,ALTO HOSPICIO,9149769,2576751,4561828,33.58,29.85,409,1,1,234.01,90995,134085,2845,131240
1401,POZO ALMONTE,2674476,2327479,4405363,26.39,38.89,266,1,1,1.3,12659,17853,6049,11804
1402,CAMIÑA,1976276,9622,99212,50,57.69,47,1,1,0.63,1046,1384,1384,0
1403,COLCHANE,1412081,119869,347882,54.55,40.91,67,0,0,0.4,1259,1588,1588,0
1404,HUARA,1812813,113591,1218107,58.33,37.5,217,1,1,0.29,2270,3043,1774,1269
1405,PICA,1628023,1484291,3985215,48.28,48.28,156,1,1,0.68,4507,6085,1938,4147
2101,ANTOFAGASTA,10196473,32864954,46776336,29.7,50.97,4557,1,1,14.12,328888,433712,6294,427418
2102,MEJILLONES,1667833,4133222,5776706,36.76,42.65,290,1,1,3.99,11488,15168,648,14520
2103,SIERRA GORDA,1630465,2732860,5363682,55.36,53.57,22,1,0,0.14,1356,1772,1772,0
2104,TALTAL,1945136,871684,3048674,34.04,61.7,59,0,1,0.68,10120,13806,1424,12382
2201,CALAMA,6345398,11884070,18404232,25,52.87,2518,1,0,12.4,142944,193343,6424,186919
2202,OLLAGÜE,1715493,474526,644618,50,35.71,17,1,1,0.1,225,283,283,0
2203,SAN PEDRO DE ATACAMA,5286242,1055732,2262618,52.5,50.83,362,1,1,0.46,8302,10675,4542,6133
2301,TOCOPILLA,3337697,940412,2327175,20.37,38.89,381,1,1,6.99,20594,28214,1158,27056
2302,MARÍA ELENA,1248853,2082394,3326470,34.62,48.08,46,1,1,0.56,5120,6773,642,6131
3101,COPIAPÓ,10391076,9149044,15010936,26.53,47.28,1052,1,0,10.39,127967,173253,3178,170075
3102,CALDERA,6568221,1208537,2373887,71.03,51.4,416,1,1,4.2,14569,19612,1996,17616
3103,TIERRA AMARILLA,1742964,4261053,5664401,35.06,48.05,56,1,0,1.28,10466,14374,3263,11111
3201,CHAÑARAL,2200736,1077931,2240481,23.76,51.49,250,1,1,2.28,9571,13149,1445,11704
3202,DIEGO DE ALMAGRO,1688045,1331374,3263630,100,43.75,234,1,1,0.76,10200,14258,939,13319
3301,VALLENAR,5496184,1663008,4207514,31.17,48.7,454,1,1,8.08,42472,57224,6541,50683
3302,ALTO DEL CARMEN,2149651,231811,1001697,46.51,41.86,211,1,1,0.97,4473,5754,5754,0
3303,FREIRINA,1895968,269602,742334,34.29,57.14,226,0,0,2.16,5750,7739,2519,5220
3304,HUASCO,1925504,1039601,1879143,37.29,55.93,95,1,1,7.1,8541,11374,1342,10032
4101,LA SERENA,12239937,17466455,25236312,35.64,47.27,1194,1,1,134.41,194026,254445,24594,229851
4102,COQUIMBO,19950070,12202381,21092139,39.43,38.19,1556,1,1,183.21,196890,261811,15800,246011
4103,ANDACOLLO,2092954,745263,1034306,39.06,50,319,1,1,38.12,8986,11818,1115,10703
4104,LA HIGUERA,1800253,1005333,1958945,37.78,48.89,175,1,1,1.08,3357,4478,3050,1428
4105,PAIGUANO,2341216,233481,418959,41.03,56.41,97,0,0,3.14,3709,4690,4690,0
4106,VICUÑA,5474233,813416,2181283,22.58,34.41,351,1,1,3.94,22685,29990,10760,19230
4201,ILLAPEL,4646256,856972,1964709,34.82,41.07,1212,0,1,12.51,24978,32899,10783,22116
4202,CANELA,2182773,482558,1042005,27.27,47.73,90,1,0,4.35,7648,9548,7485,2063
4203,LOS VILOS,6478890,1060136,1852635,39.36,50,262,1,1,12.72,18164,23668,4311,19357
4204,SALAMANCA,3276463,1998558,3791649,34.38,46.88,844,1,1,8.52,22485,29359,11543,17816
4301,OVALLE,15126452,4556575,7466657,25.22,41.3,540,1,1,31.88,92183,122241,25046,97195
4302,COMBARBALÁ,3204464,198001,518736,31.15,39.34,323,1,0,7.33,11104,13893,7451,6442
4303,MONTE PATRIA,5646064,466617,1059621,32.38,44.76,864,1,1,7.47,24669,32607,15931,16676
4304,PUNITAQUI,2287342,336017,613718,35.14,35.14,448,1,1,9.16,9251,12271,5410,6861
4305,RÍO HURTADO,1843235,210498,489780,62.79,53.49,157,1,1,2.06,3520,4361,4361,0
5101,VALPARAÍSO,21950470,16621413,24386015,22.16,39.71,941,1,1,789.61,252007,317424,1298,316126
5102,CASABLANCA,1910028,5814615,6942297,38.21,39.02,332,1,1,31.01,22658,29556,8539,21017
5103,CONCÓN,1876984,7197782,9678668,48.8,52.8,421,1,1,612.2,36026,46527,2938,43589
5104,JUAN FERNÁNDEZ,1529717,17566,82085,45,45,32,1,0,7.11,819,1053,1053,0
5105,PUCHUNCAVÍ,2070021,4211621,5339724,,,,,,67.97,15779,20391,2482,17909
5107,QUINTERO,10217650,2274031,3218642,27.13,48.84,257,1,1,248.79,28115,36821,6089,30732
5109,VIÑA DEL MAR,8383220,34094043,63139305,28.35,44.57,,,,2987.48,294069,364472,0,364472
5201,ISLA DE PASCUA,12602433,0,101169,32.79,54.1,129,1,0,51.49,6322,8445,543,7902
5301,LOS ANDES,6789443,3526318,5155003,32.12,42.49,436,1,1,54.81,52278,68401,3771,64630
5302,CALLE LARGA,1889861,3509617,3880210,35.48,35.48,183,1,1,52.19,12534,16804,3788,13016
5303,RINCONADA,,,,,,,,,93.26,8504,11471,2208,9263
5304,SAN ESTEBAN,2575315,807881,1360082,36.11,38.89,117,0,0,15.38,15791,20952,7697,13255
5401,LA LIGUA,4928833,1379271,2298635,42.03,52.9,279,1,1,32.64,29297,37957,9176,28781
5402,CABILDO,2779928,660643,1185436,59.23,60,519,1,1,14.24,15561,20715,7433,13282
5403,PAPUDO,1329368,1912394,3033893,9.52,50.79,132,1,1,37.77,4889,6270,479,5791
5404,PETORCA,2130058,641486,1049216,25.32,53.16,362,0,0,6.98,8321,10590,5852,4738
5405,ZAPALLAR,1291847,12790139,14387861,32.56,51.94,146,1,0,28.13,6397,8100,2441,5659
5501,QUILLOTA,8189330,3504725,6116414,32.21,50.96,407,1,1,326.36,76005,98561,13030,85531
5502,CALERA,5382906,2223223,3396020,30.86,46.91,302,1,1,880.92,41134,53736,1508,52228
5503,HIJUELAS,2252363,1144763,1608818,33.77,58.44,104,1,1,71.98,14654,19218,5645,13573
5504,LA CRUZ,2220052,1073029,1880738,32.97,38.46,240,1,1,333.44,19343,26008,2552,23456
5506,NOGALES,2814483,1056431,1644108,27.78,55.56,269,1,0,58.17,17950,23559,3294,20265
5601,SAN ANTONIO,9732709,5557845,7678088,21.75,43.86,467,1,1,240.3,74649,97323,5099,92224
5602,ALGARROBO,1454377,3710982,5629605,21.94,39.8,,,,87.7,12328,15436,2885,12551
5603,CARTAGENA,10788076,687520,1158517,25,46.05,394,1,0,104.94,19948,25815,2041,23774
5604,EL QUISCO,13152099,1034992,2456839,33.53,44.31,489,,,354.04,14418,18056,1278,16778
5605,EL TABO,11226311,667842,1354366,21.8,37.91,127,1,0,147.34,11841,14587,810,13777
5606,SANTO DOMINGO,1466500,12618430,14078320,42.86,44.9,143,1,0,22.62,9308,12126,4945,7181
5701,SAN FELIPE,6983125,3137781,4979189,29.02,41.97,825,1,1,454.01,63930,84445,7114,77331
5702,CATEMU,2296716,610912,870288,,,,,,42.43,11730,15360,6261,9099
5703,LLAILLAY,2845572,724283,1502376,29.91,54.21,292,1,1,76.68,20330,26760,6746,20014
5704,PANQUEHUE,1509486,409805,741516,38.18,63.64,163,1,0,63.07,5873,7694,3317,4377
5705,PUTAENDO,2847397,345217,853351,41.89,55.41,,1,1,12.05,13710,17768,10332,7436
5706,SANTA MARÍA,2432778,1069750,1310222,22.69,38.66,266,1,1,99.63,12627,16539,5420,11119
