cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
5801,QUILPUÉ,13387296,5326088,8760986,35.43,52.26,1000,1,1,314.58,133047,168931,2227,166704
5802,LIMACHE,5564922,1573705,2975243,25.77,39.18,622,1,1,171.56,38742,50439,7421,43018
5803,OLMUÉ,2512435,1199452,1639882,29.58,53.52,588,0,1,84.2,15316,19535,5788,13747
5804,VILLA ALEMANA,12902657,2683876,5097685,30.47,41.12,1881,1,1,1459.05,108972,141528,1446,140082
6101,RANCAGUA,14240512,15061244,21693875,41.81,45.26,864,,,1030.11,204902,267829,7920,259909
6102,CODEGUA,1784263,666297,949433,40.66,53.85,109,1,1,49.64,10837,14247,6419,7828
6103,COINCO,1686828,390100,522540,42.55,38.3,137,1,1,80.52,6204,7891,4435,3456
6104,COLTAUCO,2957459,457451,703325,32.86,47.14,464,1,1,95.59,16463,21507,8662,12845
6105,DOÑIHUE,3108023,1144075,1544651,56.72,53.73,330,1,0,294.41,17409,22964,5148,17816
6106,GRANEROS,3326378,1099752,1550048,39.56,42.86,775,1,1,327.19,27472,36972,3660,33312
6107,LAS CABRAS,2226154,3701309,4188677,55.32,51.06,288,1,1,36.09,21010,27034,16116,10918
6108,MACHALÍ,2142517,4719372,6642768,39.37,48.82,352,1,1,23.69,44439,61254,997,60257
6109,MALLOA,2182558,532849,977968,53.95,51.32,165,1,1,125.78,11180,14213,8268,5945
6110,MOSTAZAL,2465934,3697416,7515449,21.25,41.88,198,1,1,52.99,20963,27765,4793,22972
6111,OLIVAR,1712139,881894,1157755,64.71,44.12,146,1,0,327.47,11219,14736,4544,10192
6112,PEUMO,2016063,735035,945047,41.18,49.02,285,1,0,97.95,11668,14987,2058,12929
6113,PICHIDEGUA,2867055,875991,1143598,42.47,49.32,155,1,0,65.17,16366,20855,10163,10692
6114,QUINTA DE TILCOCO,2016743,616080,831053,33.33,48.28,207,1,1,150.48,10954,13995,6006,7989
6115,RENGO,5660749,2922820,3899024,34.48,49.43,237,1,1,108.64,48987,64313,13482,50831
6116,REQUINOA,2009484,2656617,3150097,47.17,57.55,675,1,1,45.69,23165,30749,12521,18228
6117,SAN VICENTE,5311022,2210603,3035663,24.8,41.6,504,1,1,107.35,39826,51100,22334,28766
6201,PICHILEMU,9357619,1407619,2252698,26.32,49.47,470,1,1,24.21,14254,18136,3922,14214
6202,LA ESTRELLA,1396893,915720,1141623,52.27,56.82,53,1,1,7.16,2545,3113,1921,1192
6203,LITUECHE,1485249,765294,1107456,37.25,47.06,73,1,0,11.02,5497,6820,2992,3828
6204,MARCHIHUE,1661250,3170537,3530609,26.87,44.78,171,1,0,11.6,6157,7656,3930,3726
6205,NAVIDAD,5686405,258935,409407,39.39,42.42,132,1,0,23.23,5739,6968,6968,0
6206,PAREDONES,2936844,198293,336911,41.94,50,308,1,1,11.27,5212,6335,4252,2083
6301,SAN FERNANDO,5999731,4894161,7410648,50,45,1214,1,0,32.51,60358,79353,10562,68791
6302,CHÉPICA,2556790,461401,609030,51.79,44.64,166,1,1,31.82,12668,16003,6514,9489
6303,CHIMBARONGO,4429374,1518338,2061974,33.33,52.38,374,1,0,76.17,29265,37935,15616,22319
6304,LOLOL,1702990,540952,726901,36.36,52.27,96,0,1,12.3,5907,7346,4667,2679
6305,NANCAGUA,2194480,806039,1096139,42.42,37.88,377,1,0,173.95,14908,19309,6926,12383
6306,PALMILLA,1777838,1172151,1776013,34.25,41.1,196,1,1,56.48,10594,13386,9237,4149
6307,PERALILLO,1860156,695525,1137397,49.09,40,164,1,1,42.21,9454,11946,4656,7290
6308,PLACILLA,1725602,505285,668026,50,52.27,167,1,0,62.58,7222,9199,6634,2565
6309,PUMANQUE,1426796,333360,441900,48.15,66.67,100,1,0,8.01,2973,3532,3532,0
6310,SANTA CRUZ,3440444,2092275,3347813,32.61,45.65,743,1,1,98.84,32250,41511,16582,24929
7101,TALCA,16610633,12428998,18637608,30.45,42.57,1170,1,0,1027.34,185697,238343,11088,227255
7102,CONSTITUCIÓN,9266453,2306315,3389692,28.57,50.89,441,1,1,37.56,37861,50479,10118,40361
7103,CUREPTO,2963018,376201,604042,31.51,50.68,195,1,0,8.71,7697,9353,5947,3406
7104,EMPEDRADO,2043055,161430,295357,50,41.18,66,0,0,7.43,3236,4196,1116,3080
7105,MAULE,5044599,1426191,1980933,13.33,48.89,502,1,0,262.16,44281,62394,11344,51050
7106,PELARCO,1626268,1946153,2338179,38.1,46.03,212,0,0,27.62,7173,9171,6258,2913
7107,PENCAHUE,1773561,729466,973148,,,,,,9,6828,8614,4885,3729
7108,RÍO CLARO,1901406,2518549,3042206,31.03,44.83,447,0,0,34.48,11660,14859,9932,4927
7109,SAN CLEMENTE,6068234,1882829,2611141,45.03,55.63,,1,0,10.38,35608,46751,21587,25164
7110,SAN RAFAEL,1802707,506219,780852,39.02,51.22,148,1,0,38.17,7616,10078,4597,5481
7201,CAUQUENES,6560430,962325,1859733,25.22,46.09,706,1,0,20.82,34410,44253,7890,36363
7202,CHANCO,2481792,228484,395716,36.21,46.55,325,0,0,17.58,7326,9319,5171,4148
7203,PELLUHUE,5658396,447594,665005,73.17,60.98,200,,,22.07,6381,8187,3876,4311
7301,CURICÓ,12270764,9662386,14511653,18.87,48.25,4058,1,1,124.82,126857,165757,17704,148053
7302,HUALAÑÉ,2155617,891088,1255616,35.71,45.71,139,0,1,16.27,8130,10232,3959,6273
7303,LICANTÉN,3404277,513367,751946,40.38,53.85,98,,,25.62,5519,6993,1725,5268
7304,MOLINA,5718924,2074160,2601202,41.74,48.7,484,1,1,32.48,38716,50413,8638,41775
7305,RAUCO,1911766,707748,856937,34.15,46.34,166,1,1,36.84,8863,11384,5048,6336
7306,ROMERAL,1767337,1665022,2273230,48.1,44.3,418,1,0,10.25,12627,16370,8891,7479
7307,SAGRADA FAMILIA,2536749,2014147,2707754,49.57,58.26,382,1,0,35.62,15342,19556,11305,8251
7308,TENO,2917448,1848105,2250594,35.64,53.47,560,1,0,50.38,24209,31132,20418,10714
7309,VICHUQUÉN,1501129,1541407,1817238,41.67,50,127,1,0,10.25,3536,4365,2750,1615
7401,LINARES,10457510,3665028,5299885,31.46,39.7,1275,1,1,69.51,77809,101895,17488,84407
7402,COLBÚN,3640130,2667597,3113984,29.69,51.56,219,0,0,7.87,17516,22813,12209,10604
7403,LONGAVÍ,4257852,740307,1033854,29.07,39.53,1427,1,0,22.73,25751,33051,22408,10643
7404,PARRAL,5574244,1629127,2422974,43.41,41.86,337,1,1,27.38,34301,44844,11259,33585
7405,RETIRO,3034205,969743,1179119,20.31,46.88,223,0,0,25.63,16491,21194,13171,8023
7406,SAN JAVIER,6086836,1466488,2519390,37.25,45.75,299,1,0,38.08,38108,49994,13039,36955
7407,VILLA ALEGRE,2699521,529275,839699,26.03,50.68,218,1,1,92.93,13718,17656,6643,11013
7408,YERBAS BUENAS,2650148,999423,1234557,28.33,45,258,1,0,73.92,14784,19366,11870,7496
8101,CONCEPCIÓN,5985449,20023538,28046093,40.61,38.31,1882,1,1,1075.05,195772,238661,5056,233605
8102,CORONEL,12322496,7289935,9092129,32.41,43.1,2414,0,0,454.23,95227,126729,2738,123991
8103,CHIGUAYANTE,9879076,3837195,5674408,43.92,48.68,286,1,1,1269.93,71096,91435,179,91256
8104,FLORIDA,2792189,294396,460189,31.82,45.45,110,1,0,19.47,9594,11855,6554,5301
8105,HUALQUI,4580852,726747,1003865,48.39,54.84,587,1,0,49.65,19970,26366,3378,22988
8106,LOTA,7167524,878419,1531974,25.56,42.22,,1,0,335.82,35523,45672,178,45494
8107,PENCO,5469366,2183373,2989770,34.23,45.05,315,1,0,462.73,38725,49975,474,49501
8108,SAN PEDRO DE LA PAZ,5852507,8443261,11870941,45.19,46.03,503,1,0,1310.35,110122,148070,223,147847
8109,SANTA JUANA,3710663,375771,713461,45.83,44.44,700,1,1,20.27,11502,14819,4168,10651
8110,TALCAHUANO,8413905,11989971,15505629,29.15,45.73,2279,1,0,1721.16,124557,158347,1429,156918
8111,TOMÉ,10413989,1878255,2666902,31.72,39.21,649,1,1,118.94,46285,58873,5615,53258
8112,HUALPÉN,7309681,4894917,6590413,40.21,38.14,1064,1,0,1806.22,76712,97536,740,96796
8201,LEBU,4667060,522995,740386,35.53,43.42,987,1,1,48.36,20276,27128,1965,25163
8202,ARAUCO,5555600,1473277,2056926,39.76,52.41,1330,1,1,40.55,29395,38769,9119,29650
8203,CAÑETE,6208058,736932,1052448,61,47,1178,1,0,48.87,27518,37139,16329,20810
8204,CONTULMO,2633482,174503,271406,41.38,58.62,171,1,1,6.59,4885,6340,3119,3221
8205,CURANILAHUE,4758554,739254,1348005,38.14,50.52,504,1,0,34.13,25716,33921,2013,31908
8206,LOS ÁLAMOS,3480828,417091,736447,43.33,43.33,261,1,0,37.81,16556,22647,2328,20319
8207,TIRÚA,3053764,149829,218905,38.18,50.91,147,1,1,17.7,8022,11046,6862,4184
8301,LOS ÁNGELES,16576907,10776603,15059884,32.17,41.09,647,1,0,125.88,166020,220030,54431,165599
8302,ANTUCO,2644005,367736,452716,16.22,62.16,99,1,0,2.29,3391,4312,2152,2160
8303,CABRERO,5481540,1379552,2050227,32.17,50.43,64,1,1,48.19,23709,30842,7076,23766
8304,LAJA,3880294,1065231,1564485,40.54,48.65,218,1,0,70.28,18235,23896,6482,17414
8305,MULCHÉN,4302487,1189638,1736803,34.38,34.38,655,1,0,16.14,23570,31078,5093,25985
8306,NACIMIENTO,3594572,1529968,1925508,46.74,57.61,331,1,0,29.93,21180,27981,3128,24853
8307,NEGRETE,2135300,460372,626055,41.18,49.02,143,0,0,66.71,7980,10474,3798,6676
8308,QUILACO,1550173,237101,345094,41.03,35.9,74,1,0,3.72,3375,4186,2124,2062
8309,QUILLECO,2197359,373433,518135,48.98,51.02,216,1,0,8.93,7889,10023,3929,6094
8310,SAN ROSENDO,1870733,80044,154103,46.88,53.13,60,1,0,39.08,2826,3595,527,3068
8311,SANTA BÁRBARA,2486660,857235,1084583,40.63,48.44,558,1,1,11.65,11167,14625,5940,8685
8312,TUCAPEL,2781579,698515,1132447,36.59,57.32,605,1,1,16.69,11865,15273,2218,13055
8313,YUMBEL,5714549,475217,840482,30.43,44.57,294,1,0,30.48,17668,22158,8544,13614
8314,ALTO BIOBÍO,2053144,485267,531849,58.33,45.83,45,0,0,3.19,4668,6789,6789,0
9101,TEMUCO,22740520,17247892,25777083,31.73,38.13,2437,1,1,657.05,235875,304871,22101,282770
9102,CARAHUE,5692155,363212,623349,26,39,456,1,1,19.02,19410,25505,11132,14373
9103,CUNCO,3392524,942664,1245137,40.7,41.86,593,0,0,9.47,14106,18065,8646,9419
9104,CURARREHUE,2119306,144016,222757,37.5,55,160,1,0,6.68,5766,7826,5470,2356
9105,FREIRE,4564425,789300,1021906,31.82,36.36,625,1,1,27.24,19733,25472,16898,8574
9106,GALVARINO,2968482,194143,416349,,,,,,22.22,9435,12623,8123,4500
9107,GORBEA,3031855,486437,627297,34.21,34.21,262,1,1,21.78,12007,15137,4207,10930
9108,LAUTARO,4802052,2377248,3864805,31.82,35.61,860,1,1,45.58,30750,41065,10854,30211
9109,LONCOCHE,3944544,545133,1121850,31.82,37.27,382,0,0,25.35,18828,24766,6955,17811
9110,MELIPEUCO,2523679,151282,236681,41.03,51.28,413,1,0,5.68,4881,6283,3325,2958
9111,NUEVA IMPERIAL,6443845,508021,1082432,45.11,43.61,1502,1,1,46.25,25586,33898,13286,20612
9112,PADRE LAS CASAS,9870430,2118062,3300453,44.1,44.72,2240,1,0,207,61440,83009,32176,50833
9113,PERQUENCO,2534595,227634,374457,43.18,34.09,186,1,1,21.88,5469,7241,3373,3868
9114,PITRUFQUÉN,4304153,675806,1061827,41.98,34.57,829,1,0,45.17,20279,26245,8213,18032
9115,PUCÓN,2012679,3161703,6453577,35.1,38.41,610,1,1,24.06,22649,30052,11090,18962
9116,SAAVEDRA,4089828,135129,254412,36.62,26.76,676,1,0,31.83,9697,12764,9853,2911
9117,TEODORO SCHMIDT,3537919,204214,407997,30.14,49.32,218,1,1,24.28,12273,15784,10174,5610
9118,TOLTÉN,3093953,194933,338287,25,43.75,486,1,0,11.66,7699,10027,5965,4062
9119,VILCÚN,4826709,1061239,1381169,34.13,38.89,346,0,0,22,23276,31258,12944,18314
9120,VILLARRICA,4903429,4422002,6156394,30.98,50,567,1,1,46.13,44868,59554,20582,38972
9121,CHOLCHOL,2930198,363503,463077,33.93,46.43,248,1,1,29.04,9200,12427,7702,4725
9201,ANGOL,8053397,1603531,2556820,31.65,40.51,207,1,1,47.14,42746,56289,3922,52367
9202,COLLIPULLI,3853048,1505781,2008976,38.46,50.77,289,1,1,20.27,19542,26271,6417,19854
9203,CURACAUTÍN,3939643,708735,954001,32.1,54.32,824,1,0,10.94,14103,18196,4738,13458
9204,ERCILLA,2309756,197369,385601,32.73,47.27,223,1,0,16.89,6242,8446,4378,4068
9205,LONQUIMAY,3140413,188435,350434,53.42,36.99,765,1,1,2.83,8298,11071,7203,3868
9206,LOS SAUCES,2341234,344429,491718,25.49,39.22,165,1,0,8.84,5839,7510,2662,4848
9207,LUMACO,2686516,240585,311156,43.59,46.15,350,1,1,8.95,7592,10015,5727,4288
9208,PURÉN,3087361,191598,359645,40.23,36.78,239,1,1,26.17,9316,12167,4277,7890
9209,RENAICO,2321179,454281,862495,36.84,40.35,183,1,1,40.76,8268,10884,1801,9083
9210,TRAIGUÉN,3794156,611491,806051,51.06,50,324,1,0,21.27,14766,19315,4174,15141
9211,VICTORIA,5127225,1289225,1859962,16.03,36.64,551,1,1,28.27,27504,35512,9343,26169
10101,PUERTO MONTT,20278040,19759455,30375877,27.97,47.89,845,1,0,162.91,206033,272555,28774,243781
10102,CALBUCO,4190399,1560776,2640227,20.95,52.38,782,1,0,62.6,28386,36997,19021,17976
10103,COCHAMÓ,,,,24.14,41.38,258,1,0,1.02,3269,3991,3991,0
10104,FRESIA,2182491,450583,726540,38.89,46.3,123,1,0,9.89,9990,12638,4721,7917
10105,FRUTILLAR,2030893,1777391,2397274,37.88,45.45,146,1,1,24.53,15667,20387,5842,14545
10106,LOS MUERMOS,2567682,618557,855024,24.53,39.62,578,1,1,14.31,13923,17828,8937,8891
10107,LLANQUIHUE,2249801,1108132,1499164,29.17,41.67,323,1,0,44.4,14474,18694,3345,15349
10108,MAULLÍN,2508858,169503,549760,48.48,43.94,383,1,0,17.26,11913,14859,7681,7178
10109,PUERTO VARAS,1787243,5794792,8740455,31.46,42.7,449,1,1,12.14,37274,49332,13803,35529
10201,CASTRO,9546616,2654396,4189687,35.2,38.27,965,1,1,101.34,36638,47934,10931,37003
10202,ANCUD,6572481,1282947,2267533,21.28,49.65,3417,1,1,24.25,33054,42494,11884,30610
10203,CHONCHI,2799537,1283028,1775830,38.18,40,253,1,0,11.81,12387,16092,9379,6713
10204,CURACO DE VÉLEZ,1921869,95291,218653,86.36,52.27,107,1,1,51.08,3104,4086,2638,1448
10205,DALCAHUE,2749335,543671,848422,35.59,50.85,271,1,0,12.25,11532,15178,7027,8151
10206,PUQUELDÓN,1666974,155760,365686,15.38,30.77,129,0,0,43.29,3361,4199,4199,0
10207,QUEILÉN,2025228,114002,347984,48.57,37.14,112,1,1,16.66,4291,5547,2996,2551
10208,QUELLÓN,3702115,1207818,2082535,42.39,47.83,290,1,0,9.11,21929,29538,9872,19666
10209,QUEMCHI,2655231,162437,669654,36.92,35.38,107,1,0,19.95,6920,8779,5871,2908
10210,QUINCHAO,2598125,154799,677155,40.91,40.91,264,0,0,51.38,6461,8272,4922,3350
10301,OSORNO,10709265,10229112,15730565,42.2,42.43,3463,1,1,183.25,134742,174269,14936,159333
10302,PUERTO OCTAY,1487852,778124,1043249,31.11,31.11,269,1,0,5.1,7147,9159,6998,2161
10303,PURRANQUE,2712254,1169893,1558138,46.48,45.07,314,1,0,14.43,16407,21060,5729,15331
10304,PUYEHUE,,,,35.42,45.83,466,1,1,7.38,9252,11800,6444,5356
10305,RÍO NEGRO,2079231,672030,928836,52.17,41.3,300,1,0,11.24,11219,14229,6689,7540
10306,SAN JUAN DE LA COSTA,3124356,234462,302695,39.13,41.3,484,0,1,5,6143,7590,6113,1477
10307,SAN PABLO,1889343,677618,877016,33.33,47.37,153,0,0,16.57,8384,10556,5499,5057
10401,CHAITÉN,2076458,308832,938460,30,28,272,0,0,0.59,3981,5033,3312,1721
10402,FUTALEUFÚ,2052987,154163,215929,42.86,28.57,83,1,0,2.21,2243,2835,878,1957
10403,HUALAIHUÉ,2369630,305449,768686,32.56,39.53,233,1,0,3.42,7226,9546,5487,4059
10404,PALENA,1424967,68036,138438,37.5,37.5,56,1,1,0.66,1464,1826,489,1337
11101,COYHAIQUE,7596939,3217502,5020963,43.14,47.71,522,1,0,,45316,61496,7679,53817
11102,LAGO VERDE,1448320,180060,257656,50,45.45,19,0,0,,749,919,919,0
11201,AYSÉN,4764353,1243470,2968015,26.32,42.98,230,1,1,,18500,25085,3048,22037
11202,CISNES,1953712,466000,2239303,29.41,52.94,187,1,0,,4416,5845,1504,4341
11203,GUAITECAS,1411186,247787,492426,34.48,44.83,36,1,1,,1197,1604,150,1454
11301,COCHRANE,1805528,160970,271558,87.76,73.47,193,0,0,,2802,3704,623,3081
11302,O´HIGGINS,1423645,28985,40389,69.23,38.46,13,0,0,,524,665,665,0
11303,TORTEL,1494354,24820,47649,52.63,31.58,20,0,0,,433,576,576,0
11401,CHILE CHICO,3091646,301653,561667,43.75,31.25,81,0,0,,3992,5138,1738,3400
11402,RÍO IBÁÑEZ,1821004,139857,254522,53.57,39.29,242,1,1,,2221,2705,2705,0
12101,PUNTA ARENAS,8334081,11511726,17272292,34.82,48.47,639,1,1,8.02,112121,143205,7067,136138
12102,LAGUNA BLANCA,,,,42.31,50,8,1,0,0.07,207,259,259,0
12103,RÍO VERDE,1160376,279435,876010,43.33,30,6,1,0,0.01,195,212,212,0
12104,SAN GREGORIO,1171014,242014,307661,34.78,39.13,7,1,0,0.1,547,674,674,0
12201,CABO DE HORNOS,2721354,242273,311025,39.58,47.92,71,1,0,0.09,1394,1983,218,1765
12301,PORVENIR,1999791,559488,1285423,29.03,30.65,28,1,1,0.76,5807,7421,920,6501
12302,PRIMAVERA,1220245,146776,308168,52.38,33.33,4,1,0,0.11,571,689,689,0
12303,TIMAUKEL,1230432,66169,87997,41.18,70.59,3,0,0,0.03,243,281,281,0
12401,NATALES,3893409,1473365,2796388,33.33,50.45,751,1,1,0.48,18858,24044,2544,21500
12402,TORRES DEL PAINE,1233957,358958,405292,45.16,48.39,16,1,0,0.16,968,1040,1040,0
13101,SANTIAGO,5286414,62758614,99520683,21.08,26.07,1631,1,1,23512.73,448819,517280,0,517280
13102,CERRILLOS,4164880,10789112,13756331,30.47,52.34,,1,1,4262.86,69020,89520,0,89520
13103,CERRO NAVIA,16751064,1223140,2615011,25.29,44.19,522,1,0,12936.73,110241,142304,0,142304
13104,CONCHALÍ,9693496,5808068,8391694,23.62,46.36,555,1,1,12672.18,109950,139394,0,139394
13105,EL BOSQUE,19836263,2397692,5264947,35.83,52.93,462,1,1,12270.64,132132,171789,0,171789
13106,ESTACIÓN CENTRAL,5390717,10845003,17012014,26.44,47.11,,,,15319.29,173949,214470,0,214470
13107,HUECHURABA,3289485,26403314,30503723,34.55,56.36,424,1,1,2543.4,84242,114453,90,114363
13108,INDEPENDENCIA,3902164,5286897,10415524,26.9,41.14,363,1,1,21093.57,120196,147655,0,147655
13109,LA CISTERNA,3307103,3974742,8273288,22.05,52.47,292,1,1,10112.6,80909,101126,0,101126
13110,LA FLORIDA,31069413,23921434,35282242,33.18,51.42,250,1,1,5706.83,320608,405185,145,405040
13111,LA GRANJA,14246220,1967200,3725528,27.52,49.86,409,1,0,12202.8,95106,122028,0,122028
13112,LA PINTANA,24541935,2235307,4046736,37.6,45.78,952,1,1,6111.42,139308,189454,0,189454
