cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
9117,TEODORO SCHMIDT,3382389,164437,259380,27.14,51.43,646,Si,Si,24.29,12224,15786,10155,5631
9118,TOLTÉN,2957573,187862,366027,22.41,44.83,485,Si,Si,11.69,7690,10055,6003,4052
9119,VILCÚN,4614534,1087735,1325206,35.23,37.5,1329,Si,Si,21.65,22827,30766,12918,17848
9120,VILLARRICA,4688469,3806583,5275803,32.35,51.76,435,Si,Si,45.78,44358,59103,20389,38714
9121,CHOLCHOL,2801298,317462,388785,31.37,45.1,237,Si,Si,28.83,9100,12341,7679,4662
9201,ANGOL,7699406,1536754,2274930,28.66,44.59,726,Si,Si,46.95,42403,56058,3953,52105
9202,COLLIPULLI,3683873,1369995,1842593,36.36,45.45,289,Si,Si,20.18,19371,26148,6417,19731
9203,CURACAUTÍN,3765870,602830,742317,54.69,35.94,156,Si,No,10.92,14041,18178,4755,13423
9204,ERCILLA,2208192,174619,408388,31.91,38.3,234,Si,No,16.92,6226,8458,4410,4048
9205,LONQUIMAY,3053506,158256,307506,34.69,34.69,93,Si,Si,2.82,8246,11049,7194,3855
9206,LOS SAUCES,2238357,297795,409565,24,32,93,Si,No,8.84,5829,7517,2707,4810
9207,LUMACO,2568637,221535,289080,38.78,32.65,230,Si,Si,8.98,7586,10050,5755,4295
9208,PURÉN,2960002,161613,249509,60.81,39.19,239,Si,Si,26.21,9294,12188,4310,7878
9209,RENAICO,2219422,347760,673918,32,40,296,Si,Si,40.57,8196,10833,1820,9013
9210,TRAIGUÉN,3626713,590280,810849,48.65,51.35,300,Si,Si,21.27,14706,19314,4203,15111
9211,VICTORIA,4901687,1251203,1927266,15.32,38.71,258,Si,Si,28.24,27370,35467,9378,26089
10101,PUERTO MONTT,19307534,19490533,27362758,25.43,46.22,1052,Si,No,161.03,202669,269398,28552,240846
10102,CALBUCO,4063730,1692196,2663014,17.31,50,394,Si,No,62.17,28044,36744,18956,17788
10103,COCHAMÓ,1515478,235227,420554,18.52,48.15,346,No,No,1.02,3263,4006,4006,0
10104,FRESIA,2086089,444701,605729,32.14,44.64,190,Si,No,9.9,9949,12656,4776,7880
10105,FRUTILLAR,1941860,1584776,2149167,36.67,40,295,Si,Si,24.34,15455,20223,5881,14342
10106,LOS MUERMOS,2454946,574116,744081,27.59,34.48,578,Si,Si,14.3,13837,17817,8979,8838
10107,LLANQUIHUE,2178217,1112219,1423964,27.59,36.21,222,No,No,44.23,14343,18621,3347,15274
10108,MAULLÍN,2643929,230771,467770,30.43,43.48,451,Si,No,17.3,11878,14894,7726,7168
10109,PUERTO VARAS,1708503,5579303,8167536,33.73,40.36,371,Si,Si,11.96,36529,48620,13566,35054
10201,CASTRO,8974904,2746738,4081511,35.52,36.61,389,Si,No,100.65,36203,47607,10913,36694
10202,ANCUD,6283895,1196241,1858838,18.05,47.37,3417,Si,Si,24.23,32854,42458,11940,30518
10203,CHONCHI,2676588,1198456,1530369,36.36,43.64,249,Si,No,11.76,12263,16013,9354,6659
10204,CURACO DE VÉLEZ,1837617,89924,232806,85.37,56.1,145,Si,No,50.83,3070,4066,2648,1418
10205,DALCAHUE,2628434,491216,761080,33.9,50.85,631,No,No,12.16,11386,15069,7012,8057
10206,PUQUELDÓN,1593855,91897,338271,26,36,118,No,No,43.31,3343,4201,4201,0
10207,QUEILÉN,1936445,108031,342677,33.33,36.67,122,Si,Si,16.65,4268,5543,3013,2530
10208,QUELLÓN,3539819,1194911,1807799,43.75,45.83,543,Si,No,9.03,21651,29309,9825,19484
10209,QUEMCHI,2538828,205603,807018,37.7,36.07,188,No,No,19.96,6888,8783,5898,2885
10210,QUINCHAO,2484225,144006,726770,36.36,39.39,207,No,No,51.54,6447,8298,4945,3353
10301,OSORNO,10239784,10108218,14878629,33.99,40.83,3296,Si,Si,182.34,133396,173410,14957,158453
10302,PUERTO OCTAY,1422500,766300,978392,29.27,29.27,249,Si,No,5.12,7138,9192,7024,2168
10303,PURRANQUE,2593351,1060283,1368091,43.48,43.48,289,Si,Si,14.45,16329,21080,5804,15276
10304,PUYEHUE,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,7.38,9195,11787,6445,5342
10305,RÍO NEGRO,1987789,716277,896715,51.22,41.46,278,Si,No,11.28,11197,14275,6730,7545
10306,SAN JUAN DE LA COSTA,2985988,219858,275995,40,42.22,524,No,Si,5.04,6146,7639,6185,1454
10307,SAN PABLO,1801268,659033,799617,65.17,46.07,152,Si,Si,16.57,8340,10553,5522,5031
10401,CHAITÉN,2019705,317549,1061672,32.56,27.91,71,Si,No,0.59,3956,5020,3307,1713
10402,FUTALEUFÚ,1962986,123179,176915,42.86,25,62,Si,Si,2.19,2205,2806,877,1929
10403,HUALAIHUÉ,2263813,283610,824177,32.35,32.35,220,Si,No,3.42,7170,9525,5499,4026
10404,PALENA,1362349,69630,126008,33.33,36.36,66,No,Si,0.66,1463,1827,494,1333
11101,COYHAIQUE,7261936,3031688,4434522,40.5,47.93,1717,Si,No,Sin dato oficial,44843,61210,7667,53543
11102,LAGO VERDE,1384606,134093,187852,No Recepcionado,No Recepcionado,No Recepcionado,No,No,Sin dato oficial,747,920,920,0
11201,AYSÉN,4554391,1453020,3283167,40,45,169,Si,Si,Sin dato oficial,18341,25002,3046,21956
11202,CISNES,1868064,468460,1902455,40,45.71,110,Si,No,Sin dato oficial,4382,5828,1534,4294
11203,GUAITECAS,1363970,268099,497581,29.17,41.67,No Recepcionado,Si,Si,Sin dato oficial,1190,1599,149,1450
11301,COCHRANE,1726376,150137,314248,50,35.71,192,Si,No,Sin dato oficial,2773,3685,630,3055
11302,O´HIGGINS,1361072,28403,49106,50,25,19,No,No,Sin dato oficial,517,661,661,0
11303,TORTEL,1400295,16539,34427,50,31.25,22,Si,No,Sin dato oficial,428,572,572,0
11401,CHILE CHICO,2956112,272930,486461,45.16,38.71,81,Si,Si,Sin dato oficial,3958,5121,1734,3387
11402,RÍO IBÁÑEZ,1738171,100151,160721,65.38,34.62,245,Si,Si,Sin dato oficial,2207,2699,2699,0
12101,PUNTA ARENAS,7967434,11507029,16258582,37.59,49.39,1028,Si,Si,7.96,110675,141984,6994,134990
12102,LAGUNA BLANCA,1169895,60658,93964,42.86,52.38,3,Si,No,0.07,210,264,264,0
12103,RÍO VERDE,1109376,399730,963411,44,28,6,Si,No,0.01,194,211,211,0
12104,SAN GREGORIO,1119553,203898,329804,27.27,40.91,6,Si,No,0.1,553,681,681,0
12201,CABO DE HORNOS,2601895,244715,286241,33.33,48.15,84,Si,No,0.09,1387,1983,210,1773
