cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
1101,IQUIQUE,4153872,22383372,29715260,35.92,42.89,1509,Si,Si,98.79,170552,223463,3725,219738
1107,ALTO HOSPICIO,8746726,2246138,3857980,30.51,31.36,649,Si,Si,226.87,87967,129999,2736,127263
1401,POZO ALMONTE,2569039,2101956,4021622,28.33,33.33,No Recepcionado,Si,Si,1.26,12292,17395,5918,11477
1402,CAMIÑA,1888888,7517,134088,45,50,40,Si,No,0.63,1037,1375,1375,0
1403,COLCHANE,1350143,74703,196666,75.86,31.03,51,No,No,0.39,1249,1583,1583,0
1404,HUARA,1733128,100224,910271,58.33,37.5,137,Si,Si,0.29,2227,3000,1761,1239
1405,PICA,1529311,1842688,3256493,42.86,46.43,87,Si,Si,0.67,4397,5958,1904,4054
2101,ANTOFAGASTA,9917788,33164336,45324081,27.42,50.44,1568,Si,Si,13.86,321623,425725,6208,419517
2102,MEJILLONES,1594419,4201969,5389494,32.69,48.08,112,Si,No,3.88,11146,14776,637,14139
2103,SIERRA GORDA,1558987,2843590,5274275,52,52,19,No,No,0.14,1333,1746,1746,0
2104,TALTAL,1887178,824364,2872876,26.92,51.92,59,No,Si,0.67,9964,13657,1415,12242
2201,CALAMA,6067224,12093684,18598332,26.89,52.1,1275,Si,Si,12.2,140119,190336,6250,184086
2202,OLLAGÜE,1640289,492686,698149,41.67,41.67,16,No,No,0.1,228,287,287,0
2203,SAN PEDRO DE ATACAMA,5051901,1075709,2210955,59.22,58.25,No Recepcionado,No Recepcionado,No Recepcionado,0.45,8083,10434,4485,5949
2301,TOCOPILLA,3190682,917785,1958451,18.97,37.07,220,Si,Si,6.95,20394,28079,1144,26935
2302,MARÍA ELENA,1193964,2118893,3317441,34.09,54.55,39,Si,Si,0.56,5134,6814,633,6181
3101,COPIAPÓ,9935088,9349008,14637285,22.14,46.43,1205,Si,Si,10.3,126492,171766,3161,168605
3102,CALDERA,6278526,993194,1773065,32.08,47.17,389,Si,Si,4.16,14380,19426,1947,17479
3103,TIERRA AMARILLA,1666374,4442664,5699654,27.5,40,129,Si,No,1.28,10384,14312,3291,11021
3201,CHAÑARAL,2209704,1054278,2038325,23.71,48.45,249,Si,Si,2.28,9549,13164,1432,11732
3202,DIEGO DE ALMAGRO,1669209,1180278,3072378,35.71,54.76,211,Si,Si,0.77,10232,14358,946,13412
3301,VALLENAR,5220418,1689283,3647381,29.17,50.6,375,Si,Si,8.05,42162,57009,6466,50543
3302,ALTO DEL CARMEN,2055413,242897,950882,44.44,42.22,205,Si,Si,0.96,4436,5729,5729,0
3303,FREIRINA,1785592,229778,580269,28.95,57.89,192,Si,No,2.15,5681,7681,2511,5170
3304,HUASCO,1853424,1044230,1484033,29.03,58.06,89,Si,Si,7.04,8428,11264,1359,9905
4101,LA SERENA,11703353,18231866,23941307,25.57,43.75,1102,Si,Si,131.88,189767,249656,23899,225757
4102,COQUIMBO,19210922,11776239,18344952,35.51,39.16,2320,Si,Si,179.66,192381,256735,15489,241246
4103,ANDACOLLO,2000492,778232,1003346,33.33,53.97,295,Si,Si,38.04,8931,11791,1113,10678
4104,LA HIGUERA,1720688,763568,1438083,41.67,47.92,119,Si,Si,1.07,3324,4450,3033,1417
4105,PAIGUANO,2237162,186696,391057,51.22,48.78,50,Si,No,3.13,3684,4675,4675,0
4106,VICUÑA,5209646,768418,1861961,22.11,36.84,340,Si,Si,3.91,22407,29741,10727,19014
4201,ILLAPEL,4510512,782529,1641901,28.7,42.59,No Recepcionado,Si,Si,12.48,24801,32801,10677,22124
4202,CANELA,2087037,465132,931551,17.95,56.41,172,Si,No,4.35,7618,9546,7492,2054
4203,LOS VILOS,6190666,940347,1564385,32.43,47.3,344,Si,Si,12.56,17869,23374,4320,19054
4204,SALAMANCA,3082876,2055979,3361759,31.18,45.16,No Recepcionado,Si,No,8.45,22208,29110,11487,17623
4301,OVALLE,14463326,4299351,6442907,100,36.36,1324,Si,Si,31.62,91108,121269,24976,96293
4302,COMBARBALÁ,3063572,179745,432514,32.14,39.29,330,No,No,7.32,11056,13884,7476,6408
4303,MONTE PATRIA,5398208,459571,1030916,28.57,42.86,652,Si,Si,7.45,24511,32527,15928,16599
4304,PUNITAQUI,2186558,305907,521382,30.3,36.36,484,Si,Si,9.09,9128,12165,5442,6723
4305,RÍO HURTADO,No Recepcionado,No Recepcionado,No Recepcionado,53.19,53.19,86,Si,Si,2.07,3522,4372,4372,0
5101,VALPARAÍSO,20754251,17627179,24618667,21.49,40.1,5364,Si,Si,785.4,249874,315732,1327,314405
5102,CASABLANCA,1826048,5540279,6346477,72.73,34.09,450,Si,Si,30.61,22282,29170,8535,20635
5103,CONCÓN,1794700,6948688,9016610,48.78,51.22,408,Si,Si,603.8,35412,45889,2870,43019
5104,JUAN FERNÁNDEZ,1562156,17123,74239,26.32,52.63,No Recepcionado,Si,No,6.98,795,1033,1033,0
5105,PUCHUNCAVÍ,1979273,3645882,4503963,28.41,45.45,271,Si,No,66.9,15475,20071,2490,17581
5107,QUINTERO,9729630,2167195,3060134,22.58,52.42,195,No Recepcionado,No Recepcionado,244.16,27483,36135,5973,30162
5109,VIÑA DEL MAR,8260283,35337833,55969403,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,2962.06,290678,361371,0,361371
5201,ISLA DE PASCUA,11265384,0,144703,37.25,56.86,92,Si,No,50.47,6177,8277,556,7721
5301,LOS ANDES,6491802,3523800,4936276,30.5,48.94,685,Si,Si,54.56,51847,68093,3863,64230
5302,CALLE LARGA,1806559,1179516,1415101,34.62,38.46,249,Si,Si,51.19,12245,16482,3878,12604
5303,RINCONADA,No Recepcionado,No Recepcionado,No Recepcionado,40.54,54.05,149,No,Si,91.57,8321,11263,2165,9098
5304,SAN ESTEBAN,2461184,756233,1201582,33.9,42.37,273,Si,No,15.16,15496,20643,7609,13034
5401,LA LIGUA,4735653,1475503,2202608,46.15,47.86,269,No Recepcionado,No Recepcionado,32.45,29013,37739,9208,28531
5402,CABILDO,2653248,627557,1055209,28.57,59.74,515,Si,Si,14.2,15458,20663,7421,13242
5403,PAPUDO,1325551,1810951,2830338,27.87,50.82,168,Si,Si,37.36,4819,6201,468,5733
5404,PETORCA,2030661,716961,1075408,26.67,51.67,661,Si,No,6.96,8266,10558,5821,4737
5405,ZAPALLAR,1238259,11871005,13339330,31.43,43.81,154,Si,Si,27.76,6290,7994,2398,5596
5501,QUILLOTA,7829708,4492568,6268986,30.95,49.52,199,Si,Si,323.09,74965,97572,12863,84709
5502,CALERA,5145872,2110789,2992864,26.99,44.79,520,Si,Si,878.54,40869,53591,1527,52064
5503,HIJUELAS,2153231,1226713,1627650,30.88,57.35,83,Si,No,71.53,14510,19099,5739,13360
5504,LA CRUZ,2122352,893798,1581988,32.58,34.83,255,Si,Si,324.63,18760,25321,2578,22743
5506,NOGALES,2691099,1075799,1513315,30.14,54.79,No Recepcionado,No Recepcionado,No Recepcionado,58,17832,23490,3289,20201
5601,SAN ANTONIO,9204384,5980935,7967334,25.73,55.37,2714,Si,No,238.92,73941,96761,5093,91668
5602,ALGARROBO,1390360,3455096,5090174,17.22,39.44,No Recepcionado,No Recepcionado,No Recepcionado,86.22,12076,15174,2942,12232
5603,CARTAGENA,10314399,935309,1322757,24.16,44.3,345,No Recepcionado,No Recepcionado,103.08,19514,25357,2042,23315
5604,EL QUISCO,12571650,956747,2094378,21.38,46.9,479,Si,Si,347.88,14105,17742,1283,16459
5605,EL TABO,10463965,1554630,2149807,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,144.83,11590,14338,822,13516
5606,SANTO DOMINGO,1372707,12364566,13210226,32.75,45.61,141,Si,Si,22.26,9125,11934,4868,7066
5701,SAN FELIPE,6438257,3292881,5075292,25.39,41.97,721,No,Si,448.89,62975,83494,7124,76370
5702,CATEMU,2195802,578516,726889,32.08,56.6,455,Si,No,42.02,11570,15213,6253,8960
5703,LLAILLAY,2720443,696961,1170415,30.34,56.18,262,Si,No,76.03,20077,26533,6694,19839
5704,PANQUEHUE,1443152,509254,714807,30.77,55.77,91,Si,No,62.57,5804,7633,3328,4305
5705,PUTAENDO,2722497,307117,762445,36.99,56.16,451,Si,Si,11.97,13559,17645,10253,7392
5706,SANTA MARÍA,2326127,769204,990404,11.71,39.64,222,Si,Si,98.6,12448,16367,5409,10958
5801,QUILPUÉ,12800412,5305318,8674186,32.48,49.57,1749,Si,Si,311.15,131147,167085,2208,164877
5802,LIMACHE,5320963,1532489,2877831,27.08,39.58,798,Si,Si,169.83,38206,49931,7317,42614
5803,OLMUÉ,2402293,1177213,1523382,30.67,52,517,Si,Si,83.04,15050,19266,5686,13580
5804,VILLA ALEMANA,12337021,2428923,4638349,26.43,39.64,1359,Si,Si,1436.19,106879,139310,1417,137893
6101,RANCAGUA,13737125,14781707,20930027,25.07,40.16,No Recepcionado,No Recepcionado,No Recepcionado,1020.04,202116,265211,7936,257275
6102,CODEGUA,1705793,619048,828869,32.91,48.1,175,Si,Si,49.11,10679,14096,6376,7720
6103,COINCO,1612660,395029,494751,36.59,36.59,132,Si,Si,79.91,6131,7831,4362,3469
6104,COLTAUCO,2827263,437569,651379,34.33,47.76,326,Si,Si,94.5,16208,21263,8674,12589
6105,DOÑIHUE,2971772,1103130,1428898,41.18,56.86,396,Si,No,291.03,17135,22700,5041,17659
6106,GRANEROS,3180263,1192889,1460241,29.55,45.45,1045,Si,Si,323.04,27014,36504,3647,32857
6107,LAS CABRAS,2152541,3837720,4301330,38.53,46.79,866,No,No,35.71,20705,26749,15961,10788
6108,MACHALÍ,2048283,4312121,5948856,38.17,52.67,482,Si,Si,23.17,43277,59913,1014,58899
6109,MALLOA,2086341,468776,694795,35.38,52.31,111,Si,No,125.34,11100,14163,8257,5906
6110,MOSTAZAL,2356267,3151175,6997021,25.76,40.15,218,Si,Si,52.41,20652,27462,4744,22718
6111,OLIVAR,1637078,941620,1151949,36.54,46.15,133,Si,Si,324.98,11089,14624,4530,10094
6112,PEUMO,1948050,725144,887717,38.78,42.86,193,Si,No,97.73,11594,14952,2111,12841
6113,PICHIDEGUA,2741367,827371,1006995,30,45,565,Si,No,64.82,16216,20743,10239,10504
6114,QUINTA DE TILCOCO,2116462,590730,764331,52.86,52.86,263,Si,Si,149.22,10819,13877,5966,7911
6115,RENGO,5525861,2986799,3571303,34.42,50,1205,No Recepcionado,No Recepcionado,107.62,48337,63710,13449,50261
6116,REQUINOA,1921265,2788338,3349977,50,58.33,676,Si,Si,45.13,22793,30371,12440,17931
6117,SAN VICENTE,5077180,2061937,2729387,4.95,38.61,350,Si,Si,106.34,39288,50617,22137,28480
6201,PICHILEMU,8944884,1136604,1856759,36.92,46.15,230,Si,Si,23.87,14000,17882,3911,13971
6202,LA ESTRELLA,1335574,941525,1151758,24.32,59.46,47,No,No,7.16,2532,3114,1923,1191
6203,LITUECHE,1420019,612882,887834,10,50,384,Si,Si,10.93,5428,6765,2990,3775
6204,MARCHIHUE,1588423,1491512,1762381,18.03,40.98,93,Si,No,11.56,6100,7632,3963,3669
6205,NAVIDAD,5437121,210251,312971,31.25,48.75,157,No,No,23.01,5663,6904,6904,0
6206,PAREDONES,2807627,147234,238366,34.69,51.02,247,Si,Si,11.3,5204,6349,4288,2061
6301,SAN FERNANDO,5726613,4784164,6681774,32.74,42.48,1171,Si,No,32.22,59565,78642,10546,68096
6302,CHÉPICA,2444451,441011,587848,37.29,55.93,162,Si,Si,31.66,12558,15925,6527,9398
6303,CHIMBARONGO,4233802,1391407,1833585,33.67,55.1,No Recepcionado,Si,No,75.69,28971,37696,15629,22067
6304,LOLOL,1657241,509250,647141,33.33,50,255,Si,Si,12.21,5843,7289,4613,2676
6305,NANCAGUA,2098277,1247485,1412491,42.86,36.51,No Recepcionado,No,No,172.44,14726,19141,6896,12245
6306,PALMILLA,1699899,1087412,1247539,34.85,42.42,168,Si,Si,56.11,10489,13299,9217,4082
6307,PERALILLO,1778414,675251,1000037,43.86,42.11,142,Si,Si,41.87,9340,11848,4627,7221
6308,PLACILLA,1649908,489757,622156,45.24,50,189,Si,No,62.34,7168,9164,6618,2546
6309,PUMANQUE,1364148,318039,376231,40,68,120,Si,No,8.01,2966,3531,3531,0
6310,SANTA CRUZ,3289605,2120138,3149693,24.24,44.44,No Recepcionado,No Recepcionado,No Recepcionado,97.85,31797,41096,16433,24663
7101,TALCA,15882443,12414846,17659113,28.21,42.82,881,Si,No,1020.36,183891,236724,11022,225702
7102,CONSTITUCIÓN,8860076,2340054,3282193,28.07,48.25,522,Si,Si,37.46,37636,50348,10058,40290
7103,CUREPTO,2833122,312434,474887,27.78,45.83,516,Si,No,8.78,7730,9426,5991,3435
7104,EMPEDRADO,1953490,162949,266617,44.83,44.83,71,Si,No,7.44,3226,4206,1138,3068
7105,MAULE,4820991,1303855,1833790,19.23,46.15,453,No,No,252.1,42440,60000,11261,48739
7106,PELARCO,1562642,2123975,2402084,31.03,43.1,183,No,No,27.36,7076,9083,6218,2865
7107,PENCAHUE,1695787,701176,908968,23.73,52.54,No Recepcionado,No Recepcionado,No Recepcionado,8.99,6793,8601,4909,3692
7108,RÍO CLARO,1822352,1885901,2540993,27.59,42.53,319,Si,No,34.23,11536,14753,9892,4861
7109,SAN CLEMENTE,5801171,2003057,2639587,47.66,57.81,542,Si,No,10.28,35141,46292,21598,24694
7110,SAN RAFAEL,1723498,525354,716569,34.15,48.78,141,Si,No,37.72,7501,9959,4567,5392
7201,CAUQUENES,6272028,920604,1882066,29.06,43.59,129,Si,No,20.76,34189,44143,7948,36195
7202,CHANCO,2372647,213316,398417,41.82,49.09,146,No,No,17.61,7306,9331,5187,4144
7203,PELLUHUE,5407951,395451,589272,50.91,61.82,147,Si,Si,21.81,6282,8092,3844,4248
7301,CURICÓ,11732829,9316377,12795875,No Recepcionado,No Recepcionado,No Recepcionado,Si,Si,123.21,124831,163626,17755,145871
7302,HUALAÑÉ,2061092,792696,1055457,31.25,46.88,No Recepcionado,No Recepcionado,No Recepcionado,16.25,8097,10222,3962,6260
7303,LICANTÉN,3259995,502589,750604,39.22,56.86,98,No Recepcionado,No Recepcionado,25.6,5499,6989,1740,5249
7304,MOLINA,5465714,2053886,2392432,40,51.43,1067,Si,Si,32.09,38119,49800,8639,41161
7305,RAUCO,1827775,688327,781872,35.71,47.62,208,No,Si,36.4,8726,11248,5019,6229
7306,ROMERAL,1689547,1694575,2093351,42.86,44.16,397,Si,No,10.13,12429,16170,8847,7323
7307,SAGRADA FAMILIA,2425540,1748545,2215215,33.73,43.37,465,Si,No,35.46,15231,19469,11225,8244
7308,TENO,2789413,1908494,2279352,35.71,56.12,561,Si,Si,49.92,23914,30850,20310,10540
7309,VICHUQUÉN,1435172,1554179,1787707,42.37,45.76,93,Si,No,10.28,3540,4381,2781,1600
7401,LINARES,10032438,3600907,5018161,30.29,38.69,1230,Si,Si,68.94,76912,101073,17385,83688
7402,COLBÚN,3513508,1661206,2011595,27.69,49.23,267,No,No,7.78,17265,22565,12171,10394
7403,LONGAVÍ,4069257,679357,904759,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,No Recepcionado,22.57,25476,32810,22337,10473
7404,PARRAL,5313931,1601280,2260939,26.85,37.96,1054,Si,Si,27.19,33941,44544,11235,33309
7405,RETIRO,2900593,946438,1163489,28.07,52.63,636,No,No,25.48,16334,21071,13171,7900
7406,SAN JAVIER,5818289,1398679,2362842,35.95,47.06,280,Si,No,37.66,37559,49451,13098,36353
7407,VILLA ALEGRE,2580725,512878,803709,26.76,53.52,251,Si,Si,92.17,13557,17512,6693,10819
7408,YERBAS BUENAS,2503901,941624,1248677,25,40,400,No,No,73.28,14609,19200,11937,7263
8101,CONCEPCIÓN,5721749,21007449,28405363,39.16,39.16,1835,Si,Si,1072.49,194734,238092,5019,233073
8102,CORONEL,11813793,7081941,8406511,32.98,42.91,2237,No,No,451,94162,125829,2772,123057
8103,CHIGUAYANTE,9445989,3671493,4998981,37.86,42.72,405,Si,Si,1266.39,70639,91180,175,91005
8104,FLORIDA,2669095,282269,378137,31.82,47.73,89,Si,No,19.44,9544,11841,6573,5268
8105,HUALQUI,4379818,672587,861496,42.31,57.69,563,No,No,49.34,19771,26201,3451,22750
8106,LOTA,7520469,819353,1217817,23.67,39.64,547,Si,No,336.4,35448,45750,222,45528
8107,PENCO,5228893,2125956,2705655,31.4,42.15,280,Si,No,461.71,38487,49865,476,49389
8108,SAN PEDRO DE LA PAZ,5595707,8258721,11251101,46.78,46.35,490,Si,Si,1291.2,108073,145906,210,145696
8109,SANTA JUANA,3547183,360096,658675,45.9,45.9,659,Si,Si,20.22,11422,14779,4227,10552
8110,TALCAHUANO,7862808,12329876,16175105,30.71,44.72,2340,No,No,1721.14,124087,158345,1446,156899
8111,TOMÉ,9953760,1742215,2230494,25.12,38.42,789,Si,Si,118.64,45982,58729,5649,53080
8112,HUALPÉN,7200162,4772920,5899702,41.53,37.7,1007,Si,No,1801.35,76215,97273,738,96535
8201,LEBU,4462176,494353,692149,32.84,44.78,867,Si,Si,48.31,20170,27100,1984,25116
8202,ARAUCO,5310102,1427291,1939262,36.3,50,1341,Si,Si,40.46,29206,38679,9171,29508
8203,CAÑETE,5935012,706034,915806,29.59,45.92,1256,Si,Si,48.69,27292,37003,16207,20796
8204,CONTULMO,2516633,147041,215389,38.89,59.26,92,Si,No,6.58,4863,6330,3133,3197
8205,CURANILAHUE,4549103,743278,1223093,40,40,644,Si,No,34.1,25581,33892,2018,31874
8206,LOS ÁLAMOS,3327797,389032,541601,45.21,45.21,262,Si,No,37.6,16387,22524,2323,20201
8207,TIRÚA,2919224,128045,173232,19.57,47.83,No Recepcionado,Si,Si,17.66,7971,11019,6884,4135
8301,LOS ÁNGELES,16416165,10343596,14219985,30.57,41.05,2061,Si,Si,125.01,164202,218515,54133,164382
8302,ANTUCO,2526721,317576,380275,30.23,53.49,83,No,No,2.29,3377,4306,2148,2158
8303,CABRERO,5462959,1359203,1792664,31.31,49.49,439,Si,Si,48.01,23522,30725,7086,23639
8304,LAJA,3708759,932522,1317184,31.15,49.18,217,Si,No,70.21,18136,23873,6479,17394
8305,MULCHÉN,4112769,1127801,1604979,35.96,31.46,204,No,No,16.13,23425,31041,5151,25890
8306,NACIMIENTO,3436535,1435900,1773343,47.96,53.06,328,Si,Si,29.89,21064,27944,3157,24787
8307,NEGRETE,2041543,463269,563493,26.67,48.89,138,No,No,66.43,7913,10429,3792,6637
8308,QUILACO,1424300,239982,306943,38.71,41.94,229,Si,Si,3.72,3355,4179,2127,2052
8309,QUILLECO,2100843,385380,516392,43.18,47.73,212,Si,Si,8.94,7863,10032,3961,6071
8310,SAN ROSENDO,1788285,69901,113406,46.67,50,61,Si,No,39.25,2826,3611,531,3080
8311,SANTA BÁRBARA,2377244,837779,976654,33.33,49.21,513,Si,Si,11.63,11084,14592,5958,8634
8312,TUCAPEL,2659421,720506,1003565,41.67,55.56,592,Si,Si,16.62,11761,15205,2276,12929
8313,YUMBEL,5464030,446169,982282,31.76,40,277,Si,No,30.44,17568,22132,8620,13512
8314,ALTO BIOBÍO,1981430,474399,528643,33.33,40.35,37,No,No,3.19,4636,6775,6775,0
9101,TEMUCO,21865046,17166470,25443105,25.27,35.5,1621,Si,Si,652.87,233712,302931,21745,281186
9102,CARAHUE,5442077,356582,520138,24.21,35.79,319,Si,Si,19.01,19319,25486,11216,14270
9103,CUNCO,3243398,808493,1047395,34.48,40.23,418,Si,No,9.47,14036,18055,8686,9369
9104,CURARREHUE,2026260,123508,179318,36.59,51.22,160,Si,No,6.66,5724,7802,5469,2333
9105,FREIRE,4364325,784139,1008639,25.32,35.44,701,Si,Si,27.21,19642,25446,16902,8544
9106,GALVARINO,2837900,169954,317248,19.4,35.82,209,Si,Si,22.24,9407,12633,8174,4459
9107,GORBEA,2892326,476618,595189,35.71,34.29,289,Si,Si,21.8,11975,15148,4272,10876
9108,LAUTARO,4591536,2170967,3375878,30.77,39.23,820,No,Si,45.22,30400,40746,10898,29848
9109,LONCOCHE,3770865,582543,912498,27.47,35.16,769,Si,Si,25.32,18735,24739,7026,17713
9110,MELIPEUCO,2411970,127587,169596,34.38,50,92,Si,No,5.66,4847,6265,3336,2929
9111,NUEVA IMPERIAL,6161353,504262,925881,40.65,40.65,554,Si,Si,46.08,25397,33777,13370,20407
9112,PADRE LAS CASAS,9437723,2020259,2897527,39.66,45.69,2154,Si,Si,204.76,60567,82110,31984,50126
9113,PERQUENCO,2427809,255108,371618,37.78,35.56,194,Si,Si,21.82,5436,7223,3393,3830
9114,PITRUFQUÉN,4114365,591154,793372,41.1,30.14,763,Si,Si,44.92,20089,26096,8249,17847
9115,PUCÓN,1924344,3087147,6375943,33.33,36.51,419,No,Si,23.84,22372,29782,10980,18802
9116,SAAVEDRA,3910412,123199,222913,35.29,32.35,667,Si,No,31.9,9679,12793,9898,2895
