"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PANGUIPULLI","MU200","76,45","2014"
"MUNICIPALIDAD DE PRIMAVERA","MU227","49,82","2014"
"MUNICIPALIDAD DE TIMAUKEL","MU320","9,69","2014"
"MUNICIPALIDAD DE LOS LAGOS","MU154","73,28","2014"
"MUNICIPALIDAD DE TRAIGUÉN","MU327","36,26","2014"
"MUNICIPALIDAD DE PERALILLO","MU213","61,58","2014"
"MUNICIPALIDAD DE PITRUFQUÉN","MU222","35,54","2014"
"MUNICIPALIDAD DE PURÉN","MU241","67,29","2014"
"MUNICIPALIDAD DE RENAICO","MU264","62,83","2014"
"MUNICIPALIDAD DE TEMUCO","MU315","86,80","2014"
"MUNICIPALIDAD DE TOLTÉN","MU323","70,12","2014"
"MUNICIPALIDAD DE VICTORIA","MU334","88,48","2014"
"MUNICIPALIDAD DE VILLARRICA","MU339","43,29","2014"
"MUNICIPALIDAD DE ALGARROBO","MU001","52,44","2014"
"MUNICIPALIDAD DE CABILDO","MU016","94,02","2014"
"MUNICIPALIDAD DE CALLE LARGA","MU023","67,64","2014"
"MUNICIPALIDAD DE CARTAGENA","MU029","42,47","2014"
"MUNICIPALIDAD DE CASABLANCA","MU030","23,18","2014"
"MUNICIPALIDAD DE CATEMU","MU032","79,71","2014"
"MUNICIPALIDAD DE CONCÓN","MU063","38,84","2014"
"MUNICIPALIDAD DE EL TABO","MU086","63,84","2014"
"MUNICIPALIDAD DE JUAN FERNÁNDEZ","MU115","42,52","2014"
"MUNICIPALIDAD DE LA CRUZ","MU118","88,50","2014"
"MUNICIPALIDAD DE LIMACHE","MU139","69,11","2014"
"MUNICIPALIDAD DE LLAY LLAY","MU143","26,63","2014"
"MUNICIPALIDAD DE NOGALES","MU183","7,28","2014"
"MUNICIPALIDAD DE PUTAENDO","MU243","36,47","2014"
"MUNICIPALIDAD DE QUILLOTA","MU253","90,67","2014"
"MUNICIPALIDAD DE QUILPUÉ","MU254","75,24","2014"
"MUNICIPALIDAD DE SAN ESTEBAN","MU284","49,56","2014"
"MUNICIPALIDAD DE SAN FELIPE","MU286","66,42","2014"
"MUNICIPALIDAD DE VIÑA DEL MAR","MU340","67,89","2014"
"MUNICIPALIDAD DE ZAPALLAR","MU345","58,38","2014"
"MUNICIPALIDAD DE SANTA MARÍA","MU307","71,65","2014"
"MUNICIPALIDAD DE COINCO","MU054","25,55","2014"
"MUNICIPALIDAD DE COLTAUCO","MU059","57,45","2014"
"MUNICIPALIDAD DE LA ESTRELLA","MU119","38,12","2014"
"MUNICIPALIDAD DE LAMPA","MU132","77,44","2014"
"MUNICIPALIDAD DE LAS CABRAS","MU134","39,03","2014"
"MUNICIPALIDAD DE LOLOL","MU147","31,80","2014"
"MUNICIPALIDAD DE MACHALÍ","MU160","89,56","2014"
"MUNICIPALIDAD DE MOSTAZAL","MU176","24,07","2014"
"MUNICIPALIDAD DE NANCAGUA","MU179","64,85","2014"
"MUNICIPALIDAD DE PALMILLA","MU199","46,55","2014"
"MUNICIPALIDAD DE PAREDONES","MU203","49,65","2014"
"MUNICIPALIDAD DE PEUMO","MU216","46,86","2014"
"MUNICIPALIDAD DE PICHIDEGUA","MU218","50,65","2014"
"MUNICIPALIDAD DE PLACILLA","MU223","28,35","2014"
"MUNICIPALIDAD DE PUMANQUE","MU237","13,13","2014"
"MUNICIPALIDAD DE RANCAGUA","MU260","64,67","2014"
"MUNICIPALIDAD DE REQUÍNOA","MU267","59,42","2014"
"MUNICIPALIDAD DE ANGOL","MU008","65,10","2014"
"MUNICIPALIDAD DE ANTUCO","MU010","36,08","2014"
"MUNICIPALIDAD DE CHIGUAYANTE","MU040","66,29","2014"
"MUNICIPALIDAD DE COBQUECURA","MU048","13,91","2014"
"MUNICIPALIDAD DE COELEMU","MU052","43,89","2014"
"MUNICIPALIDAD DE COIHUECO","MU053","54,79","2014"
