"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE ANTOFAGASTA","MU009","44,33","2012"
"MUNICIPALIDAD DE CERRILLOS","MU034","38,57","2012"
"MUNICIPALIDAD DE COLINA","MU057","50,69","2012"
"MUNICIPALIDAD DE COQUIMBO","MU067","44,09","2012"
"MUNICIPALIDAD DE ESTACIÓN CENTRAL","MU089","22,20","2012"
"MUNICIPALIDAD DE HUECHURABA","MU109","46,67","2012"
"MUNICIPALIDAD DE INDEPENDENCIA","MU111","16,67","2012"
"MUNICIPALIDAD DE IQUIQUE","MU112","21,29","2012"
"MUNICIPALIDAD DE LA CISTERNA","MU117","75,61","2012"
"MUNICIPALIDAD DE LA GRANJA","MU121","32,52","2012"
"MUNICIPALIDAD DE LA SERENA","MU126","45,99","2012"
"MUNICIPALIDAD DE LAS CONDES","MU135","62,71","2012"
"MUNICIPALIDAD DE LO PRADO","MU146","22,90","2012"
"MUNICIPALIDAD DE MACUL","MU161","44,23","2012"
"MUNICIPALIDAD DE MAIPÚ","MU163","8,24","2012"
"MUNICIPALIDAD DE ÑUÑOA","MU186","38,13","2012"
"MUNICIPALIDAD DE PROVIDENCIA","MU228","42,27","2012"
"MUNICIPALIDAD DE PUDAHUEL","MU231","67,64","2012"
"MUNICIPALIDAD DE QUINTA NORMAL","MU257","31,01","2012"
"MUNICIPALIDAD DE RANCAGUA","MU260","37,33","2012"
"MUNICIPALIDAD DE RECOLETA","MU263","52,56","2012"
"MUNICIPALIDAD DE RENCA","MU265","70,24","2012"
"MUNICIPALIDAD DE SAN JOAQUÍN","MU291","20,22","2012"
"MUNICIPALIDAD DE SAN MIGUEL","MU294","37,30","2012"
"MUNICIPALIDAD DE TEMUCO","MU315","40,23","2012"
"MUNICIPALIDAD DE VALPARAÍSO","MU332","63,24","2012"
"MUNICIPALIDAD DE FREIRINA","MU092","13,66","2012"
"MUNICIPALIDAD DE HUASCO","MU108","19,22","2012"
"MUNICIPALIDAD DE OLLAGÜE","MU189","15,18","2012"
"MUNICIPALIDAD DE POZO ALMONTE","MU226","84,01","2012"
"MUNICIPALIDAD DE VALLENAR","MU331","26,34","2012"
"MUNICIPALIDAD DE CANELA","MU026","26,95","2012"
"MUNICIPALIDAD DE PAIGUANO","MU195","10,82","2012"
"MUNICIPALIDAD DE CURACAUTÍN","MU072","15,49","2012"
"MUNICIPALIDAD DE ERCILLA","MU088","23,16","2012"
"MUNICIPALIDAD DE LOS SAUCES","MU156","19,94","2012"
"MUNICIPALIDAD DE ALTO HOSPICIO","MU005","20,75","2012"
"MUNICIPALIDAD DE CARAHUE","MU028","30,24","2012"
"MUNICIPALIDAD DE COMBARBALÁ","MU060","67,29","2012"
"MUNICIPALIDAD DE GALVARINO","MU097","13,79","2012"
"MUNICIPALIDAD DE ILLAPEL","MU110","21,20","2012"
"MUNICIPALIDAD DE PUERTO SAAVEDRA","MU277",",00","2012"
"MUNICIPALIDAD DE CAMIÑA","MU025","9,93","2012"
"MUNICIPALIDAD DE CARTAGENA","MU029","26,67","2012"
"MUNICIPALIDAD DE CHAÑARAL","MU038","32,22","2012"
"MUNICIPALIDAD DE CHÉPICA","MU039","26,74","2012"
"MUNICIPALIDAD DE CHOLCHOL","MU045","11,97","2012"
"MUNICIPALIDAD DE COCHRANE","MU050","30,81","2012"
"MUNICIPALIDAD DE COLLIPULLI","MU058","16,96","2012"
"MUNICIPALIDAD DE EMPEDRADO","MU087","2,86","2012"
"MUNICIPALIDAD DE FRUTILLAR","MU094","13,86","2012"
"MUNICIPALIDAD DE LA UNIÓN","MU127","76,13","2012"
"MUNICIPALIDAD DE LICANTÉN","MU138","22,75","2012"
"MUNICIPALIDAD DE LIMACHE","MU139","59,30","2012"
"MUNICIPALIDAD DE LOS MUERMOS","MU155","17,64","2012"
"MUNICIPALIDAD DE LOS VILOS","MU157","59,88","2012"
"MUNICIPALIDAD DE MALLOA","MU164","15,15","2012"
"MUNICIPALIDAD DE MAULLÍN","MU170","9,08","2012"
"MUNICIPALIDAD DE MOSTAZAL","MU176","14,45","2012"
"MUNICIPALIDAD DE MULCHÉN","MU177","43,63","2012"
"MUNICIPALIDAD DE NOGALES","MU183","6,06","2012"
"MUNICIPALIDAD DE PADRE HURTADO","MU193","18,33","2012"
"MUNICIPALIDAD DE PALMILLA","MU199","24,35","2012"
"MUNICIPALIDAD DE PERQUENCO","MU214","9,70","2012"
"MUNICIPALIDAD DE PORTEZUELO","MU224","22,59","2012"
"MUNICIPALIDAD DE PUCHUNCAVÍ","MU229","14,07","2012"
"MUNICIPALIDAD DE PUYEHUE","MU245","9,93","2012"
"MUNICIPALIDAD DE QUEMCHI","MU248","20,82","2012"
"MUNICIPALIDAD DE QUINTERO","MU258","18,57","2012"
"MUNICIPALIDAD DE RAUCO","MU262","39,93","2012"
"MUNICIPALIDAD DE RETIRO","MU268","15,34","2012"
"MUNICIPALIDAD DE SALAMANCA","MU279","16,28","2012"
"MUNICIPALIDAD DE SAN ESTEBAN","MU284","31,83","2012"
"MUNICIPALIDAD DE SAN NICOLÁS","MU295","15,20","2012"
"MUNICIPALIDAD DE SAN ROSENDO","MU302","8,52","2012"
"MUNICIPALIDAD DE SAN VICENTE DE TAGUA TAGUA","MU303","24,12","2012"
"MUNICIPALIDAD DE SIERRA GORDA","MU310","19,57","2012"
"MUNICIPALIDAD DE TALAGANTE","MU311","36,21","2012"
"MUNICIPALIDAD DE TIRÚA","MU321","2,86","2012"
"MUNICIPALIDAD DE VICTORIA","MU334","47,30","2012"
"MUNICIPALIDAD DE VILLA ALEMANA","MU338","31,78","2012"
"MUNICIPALIDAD DE ANDACOLLO","MU007","15,98","2012"
"MUNICIPALIDAD DE CABILDO","MU016","23,39","2012"
"MUNICIPALIDAD DE CALERA DE TANGO","MU022","42,13","2012"
"MUNICIPALIDAD DE COINCO","MU054","35,90","2012"
"MUNICIPALIDAD DE EL MONTE","MU084","10,12","2012"
"MUNICIPALIDAD DE GORBEA","MU099","34,60","2012"
"MUNICIPALIDAD DE LA CRUZ","MU118","58,27","2012"
"MUNICIPALIDAD DE LAUTARO","MU136","18,67","2012"
"MUNICIPALIDAD DE LONCOCHE","MU148","52,34","2012"
"MUNICIPALIDAD DE LONQUIMAY","MU150","22,19","2012"
"MUNICIPALIDAD DE MELIPILLA","MU173","22,92","2012"
"MUNICIPALIDAD DE OLMUÉ","MU190","13,25","2012"
"MUNICIPALIDAD DE PADRE LAS CASAS","MU194","56,17","2012"
"MUNICIPALIDAD DE PEÑAFLOR","MU211","43,39","2012"
"MUNICIPALIDAD DE PLACILLA","MU223","23,24","2012"
"MUNICIPALIDAD DE PUNITAQUI","MU238","22,87","2012"
"MUNICIPALIDAD DE RENAICO","MU264","43,12","2012"
"MUNICIPALIDAD DE RÍO CLARO","MU271","18,03","2012"
"MUNICIPALIDAD DE SAN FELIPE","MU286","39,47","2012"
"MUNICIPALIDAD DE VILLARRICA","MU339","14,23","2012"
"MUNICIPALIDAD DE ALTO BÍOBÍO","MU003","11,19","2012"
"MUNICIPALIDAD DE CASABLANCA","MU030","18,99","2012"
"MUNICIPALIDAD DE COELEMU","MU052","6,98","2012"
"MUNICIPALIDAD DE COLTAUCO","MU059","4,81","2012"
"MUNICIPALIDAD DE CURACAVÍ","MU073","32,36","2012"
"MUNICIPALIDAD DE HUALAÑÉ","MU104","10,09","2012"
"MUNICIPALIDAD DE ISLA DE MAIPO","MU113","42,65","2012"
"MUNICIPALIDAD DE LAJA","MU131","84,94","2012"
"MUNICIPALIDAD DE LINARES","MU140","23,54","2012"
"MUNICIPALIDAD DE MACHALÍ","MU160","53,68","2012"
"MUNICIPALIDAD DE MARCHIHUE","MU165","23,36","2012"
"MUNICIPALIDAD DE NACIMIENTO","MU178","21,80","2012"
"MUNICIPALIDAD DE NANCAGUA","MU179","10,62","2012"
"MUNICIPALIDAD DE PAINE","MU197","19,90","2012"
"MUNICIPALIDAD DE PELARCO","MU206","23,03","2012"
"MUNICIPALIDAD DE PEUMO","MU216","10,00","2012"
"MUNICIPALIDAD DE QUILLOTA","MU253","22,56","2012"
"MUNICIPALIDAD DE SAN CLEMENTE","MU283","38,67","2012"
"MUNICIPALIDAD DE SAN FABIÁN","MU285","40,00","2012"
"MUNICIPALIDAD DE SANTA MARÍA","MU307","52,24","2012"
"MUNICIPALIDAD DE TILTIL","MU319","43,01","2012"
"MUNICIPALIDAD DE VILLA ALEGRE","MU337","21,57","2012"
"MUNICIPALIDAD DE YUNGAY","MU344","15,68","2012"
"MUNICIPALIDAD DE CALDERA","MU021","74,25","2012"
"MUNICIPALIDAD DE CODEGUA","MU051","90,48","2012"
"MUNICIPALIDAD DE HUALAIHUÉ","MU103","74,72","2012"
"MUNICIPALIDAD DE LA REINA","MU125","92,54","2012"
"MUNICIPALIDAD DE LLANQUIHUE","MU142","38,20","2012"
"MUNICIPALIDAD DE PAREDONES","MU203","55,31","2012"
"MUNICIPALIDAD DE PEDRO AGUIRRE CERDA","MU205","63,41","2012"
"MUNICIPALIDAD DE QUINTA DE TILCOCO","MU256","45,13","2012"
"MUNICIPALIDAD DE SAN PEDRO DE LA PAZ","MU299","51,82","2012"
"MUNICIPALIDAD DE ALTO DEL CARMEN","MU004","9,55","2012"
"MUNICIPALIDAD DE LA HIGUERA","MU122","32,10","2012"
"MUNICIPALIDAD DE MARÍA ELENA","MU166","21,35","2012"
"MUNICIPALIDAD DE MEJILLONES","MU171","24,43","2012"
"MUNICIPALIDAD DE NUEVA IMPERIAL","MU184","27,89","2012"
"MUNICIPALIDAD DE BUIN","MU014","29,09","2012"
"MUNICIPALIDAD DE CALLE LARGA","MU023","6,12","2012"
"MUNICIPALIDAD DE CATEMU","MU032","9,56","2012"
"MUNICIPALIDAD DE DOÑIHUE","MU081","19,30","2012"
"MUNICIPALIDAD DE FREIRE","MU091","17,65","2012"
"MUNICIPALIDAD DE HIJUELAS","MU102","36,78","2012"
"MUNICIPALIDAD DE ISLA DE PASCUA","MU114","23,21","2012"
"MUNICIPALIDAD DE LAS CABRAS","MU134","4,29","2012"
"MUNICIPALIDAD DE NAVIDAD","MU180","10,09","2012"
"MUNICIPALIDAD DE PANQUEHUE","MU201","9,54","2012"
"MUNICIPALIDAD DE PICHILEMU","MU219","21,96","2012"
"MUNICIPALIDAD DE PIRQUE","MU221","19,62","2012"
"MUNICIPALIDAD DE PUTAENDO","MU243","16,12","2012"
"MUNICIPALIDAD DE RINCONADA","MU269","43,63","2012"
"MUNICIPALIDAD DE SAN ANTONIO","MU280","54,48","2012"
"MUNICIPALIDAD DE SAN JOSÉ DE MAIPO","MU292","6,03","2012"
"MUNICIPALIDAD DE SAN PEDRO","MU297","30,23","2012"
"MUNICIPALIDAD DE TEODORO SCHMIDT","MU317","3,78","2012"
"MUNICIPALIDAD DE LOTA","MU158","40,91","2012"
"MUNICIPALIDAD DE ANTUCO","MU010","15,93","2012"
"MUNICIPALIDAD DE CORRAL","MU069","11,75","2012"
"MUNICIPALIDAD DE FRESIA","MU093","30,92","2012"
"MUNICIPALIDAD DE LAGO RANCO","MU128","4,11","2012"
"MUNICIPALIDAD DE PUQUELDÓN","MU240","26,79","2012"
"MUNICIPALIDAD DE ALHUÉ","MU002","3,69","2012"
"MUNICIPALIDAD DE MELIPEUCO","MU172","17,23","2012"
"MUNICIPALIDAD DE PETORCA","MU215","15,00","2012"
"MUNICIPALIDAD DE PURÉN","MU241","8,98","2012"
"MUNICIPALIDAD DE TOLTÉN","MU323","10,04","2012"
"MUNICIPALIDAD DE PRIMAVERA","MU227","50,10","2012"
"MUNICIPALIDAD DE PUERTO AYSÉN","MU013","37,70","2012"
"MUNICIPALIDAD DE CALBUCO","MU020","32,86","2012"
"MUNICIPALIDAD DE CHILE CHICO","MU041","12,86","2012"
"MUNICIPALIDAD DE CISNES","MU047","11,95","2012"
"MUNICIPALIDAD DE CURACO DE VÉLEZ","MU074","10,75","2012"
"MUNICIPALIDAD DE FUTRONO","MU096","8,28","2012"
"MUNICIPALIDAD DE LAGUNA BLANCA","MU130","7,08","2012"
"MUNICIPALIDAD DE MARIQUINA","MU168","8,69","2012"
"MUNICIPALIDAD DE O'HIGGINS","MU187","19,36","2012"
"MUNICIPALIDAD DE PALENA","MU198","4,52","2012"
"MUNICIPALIDAD DE PANGUIPULLI","MU200","26,36","2012"
"MUNICIPALIDAD DE RÍO IBÁÑEZ","MU273","10,26","2012"
"MUNICIPALIDAD DE PURRANQUE","MU242","13,26","2012"
"MUNICIPALIDAD DE SAN JUAN DE LA COSTA","MU293","69,80","2012"
"MUNICIPALIDAD DE CABO DE HORNOS Y ANTÁRTICA","MU017","13,26","2012"
"MUNICIPALIDAD DE FUTALEUFÚ","MU095","7,95","2012"
"MUNICIPALIDAD DE LA ESTRELLA","MU119","12,61","2012"
"MUNICIPALIDAD DE LAGO VERDE","MU129",",00","2012"
"MUNICIPALIDAD DE LITUECHE","MU141","10,50","2012"
"MUNICIPALIDAD DE ÑIQUÉN","MU185","15,82","2012"
"MUNICIPALIDAD DE PORVENIR","MU225","20,18","2012"
"MUNICIPALIDAD DE QUEILÉN","MU246","10,13","2012"
"MUNICIPALIDAD DE RÁNQUIL","MU261","6,86","2012"
"MUNICIPALIDAD DE SAN RAFAEL","MU300","4,11","2012"
"MUNICIPALIDAD DE SANTO DOMINGO","MU309","4,60","2012"
"MUNICIPALIDAD DE TIMAUKEL","MU320","11,11","2012"
"MUNICIPALIDAD DE TORRES DEL PAINE","MU325","50,64","2012"
"MUNICIPALIDAD DE TUCAPEL","MU329","21,26","2012"
"MUNICIPALIDAD DE ALGARROBO","MU001","35,82","2012"
"MUNICIPALIDAD DE DALCAHUE","MU079","24,23","2012"
"MUNICIPALIDAD DE EL CARMEN","MU083","39,50","2012"
"MUNICIPALIDAD DE EL QUISCO","MU085","40,09","2012"
"MUNICIPALIDAD DE MÁFIL","MU162","32,31","2012"
"MUNICIPALIDAD DE NATALES","MU234","29,25","2012"
"MUNICIPALIDAD DE OVALLE","MU192","66,13","2012"
"MUNICIPALIDAD DE PENCAHUE","MU209","14,34","2012"
"MUNICIPALIDAD DE PUCÓN","MU230","24,46","2012"
"MUNICIPALIDAD DE PUENTE ALTO","MU232","42,04","2012"
"MUNICIPALIDAD DE QUILICURA","MU250","88,96","2012"
"MUNICIPALIDAD DE SANTIAGO","MU308","69,05","2012"
"MUNICIPALIDAD DE VIÑA DEL MAR","MU340","57,86","2012"
"MUNICIPALIDAD DE VITACURA","MU341","72,93","2012"
"MUNICIPALIDAD DE QUILPUÉ","MU254","44,25","2012"
"MUNICIPALIDAD DE SAN RAMÓN","MU301","37,21","2012"
"MUNICIPALIDAD DE ARICA","MU012","76,57","2012"
"MUNICIPALIDAD DE CHILLÁN","MU042","34,71","2012"
