"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PANGUIPULLI","MU200","76,52","2015"
"MUNICIPALIDAD DE COLLIPULLI","MU058","60,57","2015"
"MUNICIPALIDAD DE LUMACO","MU159","40,11","2015"
"MUNICIPALIDAD DE MELIPEUCO","MU172","31,90","2015"
"MUNICIPALIDAD DE PUERTO SAAVEDRA","MU277","40,81","2015"
"MUNICIPALIDAD DE NOGALES","MU183","70,16","2015"
"MUNICIPALIDAD DE SAN RAFAEL","MU300","46,47","2015"
"MUNICIPALIDAD DE PUERTO AYSÉN","MU013","74,30","2015"
"MUNICIPALIDAD DE SAN JAVIER","MU290","33,11","2015"
"MUNICIPALIDAD DE VICTORIA","MU334","72,11","2015"
"MUNICIPALIDAD DE ALGARROBO","MU001","63,79","2015"
"MUNICIPALIDAD DE CATEMU","MU032","70,74","2015"
"MUNICIPALIDAD DE PETORCA","MU215","72,96","2015"
"MUNICIPALIDAD DE PUCHUNCAVÍ","MU229","85,65","2015"
"MUNICIPALIDAD DE RINCONADA","MU269","66,35","2015"
"MUNICIPALIDAD DE SAN ESTEBAN","MU284","76,28","2015"
"MUNICIPALIDAD DE SANTO DOMINGO","MU309","74,55","2015"
"MUNICIPALIDAD DE VALPARAÍSO","MU332","86,30","2015"
"MUNICIPALIDAD DE LITUECHE","MU141","53,52","2015"
"MUNICIPALIDAD DE LOLOL","MU147","45,71","2015"
"MUNICIPALIDAD DE REQUÍNOA","MU267","93,04","2015"
"MUNICIPALIDAD DE SAN VICENTE DE TAGUA TAGUA","MU303","26,03","2015"
"MUNICIPALIDAD DE SANTA CRUZ","MU305","56,08","2015"
"MUNICIPALIDAD DE ANGOL","MU008","47,78","2015"
"MUNICIPALIDAD DE CHILLÁN VIEJO","MU043","48,51","2015"
"MUNICIPALIDAD DE COIHUECO","MU053","30,58","2015"
"MUNICIPALIDAD DE CURANILAHUE","MU075","69,94","2015"
"MUNICIPALIDAD DE LEBU","MU137","79,85","2015"
"MUNICIPALIDAD DE LOTA","MU158","56,09","2015"
"MUNICIPALIDAD DE PEMUCO","MU208","46,55","2015"
"MUNICIPALIDAD DE PORTEZUELO","MU224","60,58","2015"
"MUNICIPALIDAD DE QUIRIHUE","MU259","62,93","2015"
"MUNICIPALIDAD DE CONCHALÍ","MU062","74,86","2015"
"MUNICIPALIDAD DE RÁNQUIL","MU261","80,57","2015"
"MUNICIPALIDAD DE LINARES","MU140","64,73","2015"
"MUNICIPALIDAD DE SAN CARLOS","MU282","76,38","2015"
"MUNICIPALIDAD DE SAN NICOLÁS","MU295","84,09","2015"
"MUNICIPALIDAD DE ANDACOLLO","MU007","52,97","2015"
"MUNICIPALIDAD DE ILLAPEL","MU110","40,89","2015"
"MUNICIPALIDAD DE CALERA DE TANGO","MU022","29,01","2015"
"MUNICIPALIDAD DE LA CISTERNA","MU117","80,97","2015"
"MUNICIPALIDAD DE LA PINTANA","MU124","89,06","2015"
"MUNICIPALIDAD DE LAS CONDES","MU135","85,46","2015"
