"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE MOLINA","MU174","94,51","2013"
"MUNICIPALIDAD DE PARRAL","MU204","62,98","2013"
"MUNICIPALIDAD DE PELARCO","MU206","36,51","2013"
"MUNICIPALIDAD DE RAUCO","MU262","28,22","2013"
"MUNICIPALIDAD DE SAN JAVIER","MU290","32,94","2013"
"MUNICIPALIDAD DE SAN RAFAEL","MU300","2,86","2013"
"MUNICIPALIDAD DE TENO","MU316","76,94","2013"
"MUNICIPALIDAD DE YERBAS BUENAS","MU342","49,42","2013"
"MUNICIPALIDAD DE ANTOFAGASTA","MU009","30,53","2013"
"MUNICIPALIDAD DE CALAMA","MU019","50,95","2013"
"MUNICIPALIDAD DE CHAÑARAL","MU038","19,25","2013"
"MUNICIPALIDAD DE COLCHANE","MU056",",00","2013"
"MUNICIPALIDAD DE HUARA","MU107","4,62","2013"
"MUNICIPALIDAD DE IQUIQUE","MU112","40,55","2013"
"MUNICIPALIDAD DE MEJILLONES","MU171","52,92","2013"
"MUNICIPALIDAD DE PICA","MU217","19,94","2013"
"MUNICIPALIDAD DE CALBUCO","MU020","39,41","2013"
"MUNICIPALIDAD DE CASTRO","MU031","7,76","2013"
"MUNICIPALIDAD DE CHAITÉN","MU036","8,53","2013"
"MUNICIPALIDAD DE CHONCHI","MU046","70,07","2013"
"MUNICIPALIDAD DE CURACO DE VÉLEZ","MU074","5,68","2013"
"MUNICIPALIDAD DE DALCAHUE","MU079","21,20","2013"
"MUNICIPALIDAD DE FRUTILLAR","MU094","12,33","2013"
"MUNICIPALIDAD DE FUTALEUFÚ","MU095","11,32","2013"
"MUNICIPALIDAD DE GRANEROS","MU100","37,57","2013"
"MUNICIPALIDAD DE LOS MUERMOS","MU155","26,57","2013"
"MUNICIPALIDAD DE MAULLÍN","MU170","50,55","2013"
"MUNICIPALIDAD DE OSORNO","MU191","75,12","2013"
"MUNICIPALIDAD DE PUQUELDÓN","MU240","48,97","2013"
"MUNICIPALIDAD DE PURRANQUE","MU242","79,03","2013"
"MUNICIPALIDAD DE QUINCHAO","MU255","25,96","2013"
"MUNICIPALIDAD DE RÍO NEGRO","MU274","15,64","2013"
"MUNICIPALIDAD DE ÑUÑOA","MU186","75,83","2013"
"MUNICIPALIDAD DE PEDRO AGUIRRE CERDA","MU205","52,61","2013"
"MUNICIPALIDAD DE PUDAHUEL","MU231","81,31","2013"
"MUNICIPALIDAD DE QUILICURA","MU250","89,30","2013"
"MUNICIPALIDAD DE RENCA","MU265","70,62","2013"
"MUNICIPALIDAD DE SAN MIGUEL","MU294","85,76","2013"
"MUNICIPALIDAD DE SAN PEDRO","MU297","23,43","2013"
"MUNICIPALIDAD DE TALAGANTE","MU311","94,08","2013"
"MUNICIPALIDAD DE TREGUACO","MU328","4,09","2013"
"MUNICIPALIDAD DE YUMBEL","MU343","31,22","2013"
"MUNICIPALIDAD DE YUNGAY","MU344","52,10","2013"
"MUNICIPALIDAD DE SAN JOSÉ DE MAIPO","MU292","16,83","2013"
"MUNICIPALIDAD DE TOME","MU324","81,05","2013"
"MUNICIPALIDAD DE CAMARONES","MU024","7,67","2013"
"MUNICIPALIDAD DE TRAIGUÉN","MU327","77,02","2013"
"MUNICIPALIDAD DE CISNES","MU047",",00","2013"
"MUNICIPALIDAD DE CABRERO","MU018","57,56","2013"
"MUNICIPALIDAD DE CODEGUA","MU051","78,93","2013"
"MUNICIPALIDAD DE NANCAGUA","MU179","66,96","2013"
"MUNICIPALIDAD DE VITACURA","MU341","88,35","2013"
"MUNICIPALIDAD DE CONCHALÍ","MU062","69,62","2013"
"MUNICIPALIDAD DE HUECHURABA","MU109","47,10","2013"
"MUNICIPALIDAD DE LA FLORIDA","MU120","71,69","2013"
"MUNICIPALIDAD DE LA REINA","MU125","67,32","2013"
"MUNICIPALIDAD DE LAS CONDES","MU135","72,71","2013"
"MUNICIPALIDAD DE LA CISTERNA","MU117","88,83","2013"
"MUNICIPALIDAD DE RINCONADA","MU269","81,39","2013"
"MUNICIPALIDAD DE ZAPALLAR","MU345","39,78","2013"
"MUNICIPALIDAD DE PEMUCO","MU208","44,87","2013"
"MUNICIPALIDAD DE COLINA","MU057","94,18","2013"
"MUNICIPALIDAD DE TEODORO SCHMIDT","MU317","19,51","2013"
"MUNICIPALIDAD DE TOLTÉN","MU323","78,81","2013"
"MUNICIPALIDAD DE CAUQUENES","MU033","54,73","2013"
"MUNICIPALIDAD DE PENCAHUE","MU209","27,07","2013"
"MUNICIPALIDAD DE LIMACHE","MU139","33,18","2013"
"MUNICIPALIDAD DE PUTAENDO","MU243","57,50","2013"
"MUNICIPALIDAD DE SAN ESTEBAN","MU284","81,91","2013"
"MUNICIPALIDAD DE LO ESPEJO","MU145","77,33","2013"
"MUNICIPALIDAD DE TILTIL","MU319","5,12","2013"
"MUNICIPALIDAD DE GALVARINO","MU097","47,05","2013"
"MUNICIPALIDAD DE ARICA","MU012","93,97","2013"
"MUNICIPALIDAD DE TALTAL","MU314","12,96","2013"
"MUNICIPALIDAD DE QUILPUÉ","MU254","78,91","2013"
"MUNICIPALIDAD DE RÍO IBÁÑEZ","MU273","25,71","2013"
"MUNICIPALIDAD DE RECOLETA","MU263","78,48","2013"
"MUNICIPALIDAD DE QUIRIHUE","MU259","15,43","2013"
"MUNICIPALIDAD DE VICTORIA","MU334","91,98","2013"
"MUNICIPALIDAD DE COLBÚN","MU055","61,02","2013"
"MUNICIPALIDAD DE QUINTA NORMAL","MU257","77,06","2013"
"MUNICIPALIDAD DE LA GRANJA","MU121","88,25","2013"
"MUNICIPALIDAD DE LOTA","MU158","8,76","2013"
