"code","municipality","year","variable","value"
5604,"EL QUISCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7949173000
5605,"EL TABO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6397509000
5606,"SANTO DOMINGO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9670199000
5701,"SAN FELIPE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",13418411000
5702,"CATEMU","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2583723000
5703,"LLAILLAY","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3603844000
5704,"PANQUEHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2032926000
5705,"PUTAENDO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3848421000
5706,"SANTA MARÍA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3008205000
5801,"QUILPUÉ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",20890073000
5802,"LIMACHE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6174992000
5803,"OLMUÉ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3984630000
5804,"VILLA ALEMANA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",17947186000
6101,"RANCAGUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",55711659000
6102,"CODEGUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3607996000
6103,"COINCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2695844000
6104,"COLTAUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4058800000
6105,"DOÑIHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4165552000
6106,"GRANEROS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",10066046000
6107,"LAS CABRAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5319094000
6108,"MACHALÍ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8047157000
6109,"MALLOA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3114593000
6110,"MOSTAZAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11208031000
6111,"OLIVAR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3126614000
6112,"PEUMO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3222387000
6113,"PICHIDEGUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3003301000
6114,"QUINTA DE TILCOCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2261524000
6115,"RENGO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8263606000
6116,"REQUINOA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6397766000
6117,"SAN VICENTE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7444543000
6201,"PICHILEMU","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6217312000
6202,"LA ESTRELLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1896099000
6203,"LITUECHE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2593768000
6204,"MARCHIHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1902012000
6205,"NAVIDAD","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4319412000
6206,"PAREDONES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2092039000
6301,"SAN FERNANDO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11735614000
6302,"CHÉPICA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2745635000
6303,"CHIMBARONGO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6177199000
6304,"LOLOL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2112275000
6305,"NANCAGUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3926602000
6306,"PALMILLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2586274000
6307,"PERALILLO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3352670000
6308,"PLACILLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2290575000
6309,"PUMANQUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2335067000
6310,"SANTA CRUZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8210508000
7101,"TALCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",42942165000
7102,"CONSTITUCIÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",12784049000
7103,"CUREPTO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2768798000
7104,"EMPEDRADO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2116014000
7105,"MAULE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4233576000
7106,"PELARCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3669166000
7107,"PENCAHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3557733000
7108,"RÍO CLARO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4596269000
7109,"SAN CLEMENTE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7619519000
7110,"SAN RAFAEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2139488000
7201,"CAUQUENES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8361585000
7202,"CHANCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2828420000
7203,"PELLUHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4000984000
7301,"CURICÓ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",21356166000
7302,"HUALAÑÉ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4498763000
7303,"LICANTÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3314092000
7304,"MOLINA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8103191000
7305,"RAUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3705445000
7306,"ROMERAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4483584000
7307,"SAGRADA FAMILIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4098349000
7308,"TENO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4393671000
7309,"VICHUQUÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3417257000
7401,"LINARES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",13118154000
7402,"COLBÚN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4261252000
7403,"LONGAVÍ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4166419000
7404,"PARRAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7702458000
7405,"RETIRO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3220176000
7406,"SAN JAVIER","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6840164000
7407,"VILLA ALEGRE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2696493000
7408,"YERBAS BUENAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3575227000
