"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std","ta","dai","sae","iadm40","iadm44","iadm41","iadm25","iadm33","isoc013","mocosoc","mcosoc","icar007","itpcm","itpc","itpr","itpu","internet_con"
"31",2021,4,"Coquimbo",41,"Elqui",4106,"Vicuña",7579.04,4.5,NA,NA,NA,NA,5217645,781169,2023072,29.82,45.61,329,"0","1",3.86,22046,29402,10778,16993,1096
"32",2021,4,"Coquimbo",42,"Choapa",4201,"Illapel",2629.06,6.5,NA,NA,NA,NA,4444447,801834,1762864,28.28,46.46,NA,"1","1",12.4,24528,32610,9796,21052,2116
"33",2021,4,"Coquimbo",42,"Choapa",4202,"Canela",2196.81,3.75,NA,NA,NA,NA,2125597,472322,1053271,29.55,50,328,NA,NA,4.33,7559,9516,7133,1960,74
"34",2021,4,"Coquimbo",42,"Choapa",4203,"Los Vilos",1859.5,4,NA,NA,NA,NA,6160937,933141,1737466,23.75,50,NA,"1","1",12.36,17509,23011,4288,17094,1835
"35",2021,4,"Coquimbo",42,"Choapa",4204,"Salamanca",3445.76,1.75,NA,NA,NA,NA,3104715,2124497,3297445,34.25,47.95,725,"1","1",8.35,21841,28772,12544,16803,817
"36",2021,4,"Coquimbo",43,"Limarí",4301,"Ovalle",3546.21,3.5,NA,NA,NA,NA,14771171,4507237,7906282,NA,NA,NA,"1","1",31.27,89649,119936,23733,87539,17652
"37",2021,4,"Coquimbo",43,"Limarí",4302,"Combarbalá",2296.04,2.5,NA,NA,NA,NA,3100885,181593,555527,29.09,40,130,"1","0",7.3,10968,13834,7324,5998,362
"38",2021,4,"Coquimbo",43,"Limarí",4303,"Monte Patria",4211.35,3.5,NA,NA,NA,NA,5491759,419083,1147115,33,43,706,"1","1",7.41,24252,32352,15413,15338,358
"39",2021,4,"Coquimbo",43,"Limarí",4304,"Punitaqui",1092.42,2.25,NA,NA,NA,NA,2213364,404555,738091,32.14,42.86,237,"1","1",8.98,8976,12021,5108,5848,252
"40",2021,4,"Coquimbo",43,"Limarí",4305,"Río Hurtado",2204.5,4,NA,NA,NA,NA,1785602,225283,446721,52.17,56.52,156,"1","1",2.07,3505,4372,4278,0,17
"41",2021,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",310.87,3.5,NA,NA,NA,NA,21287696,17752892,28071554,21.49,39.69,2821,"1","1",779.07,246898,313185,737,295918,79652
"42",2021,5,"Valparaíso",51,"Valparaíso",5102,"Casablanca",954.63,2,NA,NA,NA,NA,1850760,5540770,6721000,50.82,37.7,412,"1","1",30.14,21843,28722,8865,18002,3588
"43",2021,5,"Valparaíso",51,"Valparaíso",5104,"Juan Fernández",110.55,2.25,NA,NA,NA,NA,1595030,19099,73886,28.57,57.14,18,NA,NA,6.82,773,1010,926,0,NA
"44",2021,5,"Valparaíso",51,"Valparaíso",5105,"Puchuncaví",299.68,3.5,NA,NA,NA,NA,2021402,3529001,4763651,34.21,47.37,263,"1","1",65.63,15113,19688,2687,15859,1445
"45",2021,5,"Valparaíso",51,"Valparaíso",5107,"Quintero",146.06,3.5,NA,NA,NA,NA,9666699,2219614,3217107,25.86,55.17,454,"1","1",238.79,26762,35341,5039,26884,5265
"46",2021,5,"Valparaíso",52,"Isla de Pascua",5201,"Isla de Pascua",163.83,2.5,NA,NA,NA,NA,10349107,0,242851,31.82,56.82,91,"1","0",49.23,6001,8073,428,7322,218
"47",2021,5,"Valparaíso",53,"Los Andes",5301,"Los Andes",1233.75,4,NA,NA,NA,NA,6629975,3609606,5371959,30.15,50.74,437,"1","1",54.15,51224,67583,5691,61017,18925
"48",2021,5,"Valparaíso",53,"Los Andes",5302,"Calle Larga",321.23,4.25,NA,NA,NA,NA,1799754,764232,1006552,32.69,38.46,207,"1","1",50.02,11911,16107,4141,10691,1257
"49",2021,5,"Valparaíso",53,"Los Andes",5303,"Rinconada",122.82,4,NA,NA,NA,NA,1407153,535851,4785631,40.54,54.05,147,"0","1",89.51,8090,11010,2142,8065,1612
"50",2021,5,"Valparaíso",53,"Los Andes",5304,"San Esteban",1374.51,3.5,NA,NA,NA,NA,2458122,634721,1218693,50.79,36.51,295,"1","0",14.89,15145,20276,7483,11372,2844
"51",2021,5,"Valparaíso",54,"Petorca",5401,"La Ligua",1163.02,4.25,NA,NA,NA,NA,5416289,1542437,2631447,36.45,48.6,511,NA,NA,32.17,28633,37411,9381,26009,2373
"52",2021,5,"Valparaíso",54,"Petorca",5402,"Cabildo",1455.15,2.75,NA,NA,NA,NA,2697440,587545,1104900,29.49,57.69,664,"1","1",14.13,15307,20554,7215,12173,734
"53",2021,5,"Valparaíso",54,"Petorca",5403,"Papudo",167.12,3.5,NA,NA,NA,NA,1398981,1953705,2939909,23.73,54.24,121,"1","0",36.86,4730,6118,942,5414,224
"54",2021,5,"Valparaíso",54,"Petorca",5404,"Petorca",1515.74,4,NA,NA,NA,NA,2071249,649141,1051155,20.97,51.61,543,"1","0",6.92,8180,10495,5723,4103,111
"55",2021,5,"Valparaíso",54,"Petorca",5405,"Zapallar",288.27,8,NA,NA,NA,NA,1260760,12049559,13896241,29.35,46.74,131,"1","1",27.31,6160,7866,2326,5013,883
"56",2021,5,"Valparaíso",55,"Quillota",5502,"Calera",59.97,4,NA,NA,NA,NA,5195588,2097857,3410864,NA,NA,NA,NA,NA,873.74,40465,53298,1886,48668,12316
"57",2021,5,"Valparaíso",55,"Quillota",5503,"Hijuelas",268.15,4,NA,NA,NA,NA,2193952,1190984,1669075,29.85,56.72,391,"1","0",70.88,14316,18924,6253,11735,785
"58",2021,5,"Valparaíso",55,"Quillota",5504,"La Cruz",77.86,2.75,NA,NA,NA,NA,2167525,843954,1595083,30.38,39.24,252,"1","1",314.92,18107,24564,2646,19452,5619
"59",2021,5,"Valparaíso",55,"Quillota",5506,"Nogales",405.49,3.5,NA,NA,NA,NA,2748378,1016637,1604660,29.41,55.88,195,"1","0",57.67,17651,23356,3341,18779,2516
"60",2021,5,"Valparaíso",56,"San Antonio",5601,"San Antonio",400.04,8,NA,NA,NA,NA,9504114,5975882,9205133,24.83,52.38,2770,"1","0",236.9,72985,95946,4781,86569,20064
"61",2021,5,"Valparaíso",56,"San Antonio",5602,"Algarrobo",176.3,3.5,NA,NA,NA,NA,NA,NA,NA,14.04,38.76,326,"1","1",84.45,11771,14863,2918,10899,3163
"62",2021,5,"Valparaíso",56,"San Antonio",5603,"Cartagena",243.86,2.5,NA,NA,NA,NA,10497628,776416,1923456,22.7,46.1,308,"1","1",100.94,19020,24832,1892,20846,4387
"63",2021,5,"Valparaíso",56,"San Antonio",5604,"El Quisco",51.64,3.5,NA,NA,NA,NA,12672903,967202,2128057,28.57,45.34,477,"1","1",340.53,13751,17367,1088,14867,3255
"64",2021,5,"Valparaíso",56,"San Antonio",5605,"El Tabo",99.58,6.75,NA,NA,NA,NA,10709017,619426,1456566,23.81,44.44,137,"1","0",141.8,11299,14038,671,12615,2516
"65",2021,5,"Valparaíso",56,"San Antonio",5606,"Santo Domingo",536.92,4.5,NA,NA,NA,NA,1419376,11858723,12870534,35.29,46.47,152,"1","1",21.83,8904,11703,4684,6216,3056
"66",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5701,"San Felipe",186.82,3.5,NA,NA,NA,NA,6818248,3140532,5427615,26.5,41.5,654,"1","1",442.54,61804,82312,7227,69617,17891
"67",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5702,"Catemu",361.85,1.75,NA,NA,NA,NA,2231683,491618,674169,25,57.69,455,"1","0",41.5,11374,15023,6185,7813,559
"68",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5703,"Llaillay",348.83,2.75,NA,NA,NA,NA,2770429,733416,1423435,26.67,60,259,"1","0",75.16,19759,26232,6636,17972,3132
"69",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5704,"Panquehue",121.26,2.5,NA,NA,NA,NA,1472787,578800,857345,31.37,60.78,124,"1","0",61.91,5716,7553,3467,3806,431
"70",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",1451.23,4,NA,NA,NA,NA,2778324,318154,858284,35.82,52.24,279,NA,NA,11.85,13363,17471,10020,6734,564
"71",2021,5,"Valparaíso",57,"San Felipe de Aconcagua",5706,"Santa María",165.71,NA,NA,NA,NA,NA,2375015,735649,1000111,20,40,289,"1","1",97.29,12227,16150,5453,9788,766
"72",2021,5,"Valparaíso",58,"Marga Marga",5801,"Quilpué",536.48,3.5,NA,NA,NA,NA,13072863,5403075,9580738,27.48,49.34,1697,"1","0",306.86,128811,164783,2112,149596,51236
"73",2021,5,"Valparaíso",58,"Marga Marga",5803,"Olmué",231.32,2.5,NA,NA,NA,NA,2453425,1202710,1791886,26.47,51.47,542,"1","1",81.66,14736,18946,5239,12277,2222
"74",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6101,"Rancagua",260.94,4,NA,NA,NA,NA,13796605,15238094,23319892,30.25,41.5,791,"1","1",1007.66,198646,261992,7591,234183,72927
"75",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6102,"Codegua",284.17,3.25,NA,NA,NA,NA,1733023,579025,846469,NA,NA,218,"1","1",48.48,10487,13914,5969,7019,1129
"76",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6103,"Coinco",97.34,3.75,NA,NA,NA,NA,1637470,424767,585204,41.46,41.46,110,"1","1",79.11,6040,7753,3935,3424,442
"77",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6104,"Coltauco",222.02,3.25,NA,NA,NA,NA,2874711,434462,822812,30.91,54.55,517,"1","1",93.2,15902,20971,8386,11211,371
"78",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6105,"Doñihue",80.47,NA,NA,NA,NA,NA,3035023,1130341,1461801,38.78,55.1,410,"1","0",286.99,16810,22385,4463,16424,1236
"79",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6106,"Graneros",112.45,2.5,NA,NA,NA,NA,3233176,1416748,1811743,27.27,42.05,462,"1","1",318.14,26468,35950,3616,29821,7300
"80",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6107,"Las Cabras",751.28,4,NA,NA,NA,NA,2177876,3252206,3769001,34.95,47.57,859,"1","0",35.25,20334,26403,15062,9578,1222
"81",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6108,"Machalí",2593.18,3,NA,NA,NA,NA,2076536,4184683,6276275,30,50.83,500,"1","1",22.58,41938,58398,1001,51504,15239
"82",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6109,"Malloa",220.65,3.25,NA,NA,NA,NA,2110244,485239,1148555,0,0,99,"0","0",124.61,10977,14081,7949,5458,377
"83",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6110,"Mostazal",525.72,2.5,NA,NA,NA,NA,NA,NA,NA,29.55,39.39,426,"1","1",51.72,20272,27100,4389,20954,3414
"84",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6111,"Olivar",44.22,3.5,NA,NA,NA,NA,1668865,874077,1208564,41.67,37.5,136,"1","1",321.78,10925,14480,4320,9288,935
"85",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6112,"Peumo",155.15,2.5,NA,NA,NA,NA,1955796,656521,934352,31.11,44.44,157,"0","0",97.27,11485,14882,2313,12000,1248
"86",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6113,"Pichidegua",319.47,NA,NA,NA,NA,NA,2799671,800339,1135938,32.08,52.83,557,"1","0",64.32,16005,20581,10411,9303,199
"87",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6114,"Quinta de Tilcoco",86.75,3.5,NA,NA,NA,NA,1761981,575536,795110,29.03,51.61,203,"1","1",147.6,10648,13727,5724,7278,408
"88",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6115,"Rengo",585.04,3.5,NA,NA,NA,NA,5568938,2671065,3620823,28.57,50,1521,"1","1",106.35,47522,62958,12879,45946,10544
"89",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6116,"Requínoa",677.18,8,NA,NA,NA,NA,1942007,2464442,3144908,41.25,57.5,668,"1","1",44.46,22336,29922,11685,16283,1278
"90",2021,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6117,"San Vicente",484.76,8.5,NA,NA,NA,NA,5135390,2338519,3818674,25.58,44.19,338,"1","1",105.08,38623,50016,20557,26209,6253
"91",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6201,"Pichilemu",715.89,4,NA,NA,NA,NA,9024703,1124867,2060107,31.78,47.66,366,"1","1",23.48,13696,17584,3491,12903,2033
"92",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6202,"La Estrella",431.44,4,NA,NA,NA,NA,1359003,1048001,1294317,37.21,62.79,53,"1","1",7.14,2517,3107,1908,1133,31
"93",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6203,"Litueche",613.64,3.5,NA,NA,NA,NA,1443584,542406,1043010,29.27,46.34,83,"1","1",10.81,5344,6694,2926,3368,207
"94",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6204,"Marchihue",657.65,4,NA,NA,NA,NA,1622231,614566,937005,29.63,51.85,123,"1","0",11.49,6033,7581,3987,3321,234
"95",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6205,"Navidad",301.4,5.25,NA,NA,NA,NA,5552847,202309,467133,100,40,205,NA,NA,22.73,5563,6818,6641,0,77
"96",2021,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6206,"Paredones",572.51,7.25,NA,NA,NA,NA,2846445,144155,271448,35.42,52.08,296,"1","1",11.3,5181,6353,4346,1842,82
"97",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6301,"San Fernando",2321.18,3.5,NA,NA,NA,NA,5827790,4947878,7635728,35.09,41.23,1211,"1","0",31.86,58581,77763,10261,63712,17453
"98",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6302,"Chépica",477.33,NA,NA,NA,NA,NA,2483650,418225,581766,37.93,58.62,158,"1","1",31.44,12407,15816,6391,8646,705
"99",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6303,"Chimbarongo",509.03,3.5,NA,NA,NA,NA,4290097,1368708,2208996,32.29,55.21,487,"0","0",75.07,28586,37386,14913,20486,2845
"100",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6304,"Lolol",596.92,2.75,NA,NA,NA,NA,1682720,477512,611117,37.5,53.13,171,"1","1",12.11,5760,7227,4382,2429,294
"101",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6305,"Nancagua",151.21,2.5,NA,NA,NA,NA,2142938,2292937,2641573,35.19,37.04,571,"0","0",170.58,14493,18934,6493,11340,283
"102",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6306,"Palmilla",235.79,4,NA,NA,NA,NA,1736065,1167047,1434209,33.9,44.07,163,"1","1",55.57,10336,13169,9018,3464,345
"103",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6307,"Peralillo",283.03,3.5,NA,NA,NA,NA,1807262,642840,1039267,27.78,37.04,144,"1","1",41.43,9197,11725,4370,6637,429
"104",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6308,"Placilla",144.4,3,NA,NA,NA,NA,1678444,469809,679608,55.88,41.18,148,"0","0",61.86,7079,9093,6363,2375,367
"105",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6309,"Pumanque",441.31,3,NA,NA,NA,NA,1388524,321029,408903,30.43,69.57,119,"1","0",8.01,2950,3531,3421,0,109
"106",2021,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6310,"Santa Cruz",393.53,3.5,NA,NA,NA,NA,3359622,2230768,3876642,32.35,45.1,965,"1","1",96.6,31230,40574,15031,22824,6809
"107",2021,7,"Maule",71,"Talca",7101,"Talca",232.05,4,NA,NA,NA,NA,16220494,12462288,19527672,27.82,40.85,830,"1","0",1011.71,181577,234717,9441,210916,68013
"108",2021,7,"Maule",71,"Talca",7102,"Constitución",1339.62,3.5,NA,NA,NA,NA,9034421,2191087,3525386,29,51,437,"1","1",37.31,37317,50148,8795,37273,5554
"109",2021,7,"Maule",71,"Talca",7103,"Curepto",1070.81,3.25,NA,NA,NA,NA,1995054,322691,484934,25.76,51.52,419,"1","0",8.82,7741,9477,6059,3389,141
