"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std","ta","dai","sae"
"1",2019,1,"Tarapacá",11,"Iquique",1101,"Iquique",2289.53,4.75,NA,NA,NA,NA
"2",2019,1,"Tarapacá",11,"Iquique",1107,"Alto Hospicio",571.19,3.5,NA,NA,NA,NA
"3",2019,1,"Tarapacá",14,"Tamarugal",1401,"Pozo Almonte",13765.8,2.25,NA,NA,NA,NA
"4",2019,1,"Tarapacá",14,"Tamarugal",1402,"Camiña",2199.83,2,NA,NA,NA,NA
"5",2019,1,"Tarapacá",14,"Tamarugal",1403,"Colchane",4007.84,1.25,NA,NA,NA,NA
"6",2019,1,"Tarapacá",14,"Tamarugal",1404,"Huara",10472.5,4.25,NA,NA,NA,NA
"7",2019,1,"Tarapacá",14,"Tamarugal",1405,"Pica",8982.12,4.25,NA,NA,NA,NA
"8",2019,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",30683.5,5.75,NA,NA,NA,NA
"9",2019,2,"Antofagasta",21,"Antofagasta",2102,"Mejillones",3576.07,6.5,NA,NA,NA,NA
"10",2019,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",12883,3.5,NA,NA,NA,NA
"11",2019,2,"Antofagasta",21,"Antofagasta",2104,"Taltal",20412.1,7.25,NA,NA,NA,NA
"12",2019,2,"Antofagasta",22,"El Loa",2201,"Calama",15533.2,5.25,NA,NA,NA,NA
"13",2019,2,"Antofagasta",22,"El Loa",2202,"Ollagüe",2925.54,2.25,NA,NA,NA,NA
"14",2019,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",23602.2,3,NA,NA,NA,NA
"15",2019,2,"Antofagasta",23,"Tocopilla",2301,"Tocopilla",4120.83,4.25,NA,NA,NA,NA
"16",2019,2,"Antofagasta",23,"Tocopilla",2302,"María Elena",12330.1,3,NA,NA,NA,NA
"17",2019,3,"Atacama",31,"Copiapó",3101,"Copiapó",17782.9,3,NA,NA,NA,NA
"18",2019,3,"Atacama",31,"Copiapó",3102,"Caldera",3680.47,5,NA,NA,NA,NA
"19",2019,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",11251.1,2.75,NA,NA,NA,NA
"20",2019,3,"Atacama",32,"Chañaral",3201,"Chañaral",5758.87,3.25,NA,NA,NA,NA
"21",2019,3,"Atacama",32,"Chañaral",3202,"Diego de Almagro",18969.2,3,NA,NA,NA,NA
"22",2019,3,"Atacama",33,"Huasco",3301,"Vallenar",7226.86,4.5,NA,NA,NA,NA
"23",2019,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",6155.88,2,NA,NA,NA,NA
"24",2019,3,"Atacama",33,"Huasco",3303,"Freirina",3222.55,4,NA,NA,NA,NA
"25",2019,3,"Atacama",33,"Huasco",3304,"Huasco",1602.25,3.25,NA,NA,NA,NA
"26",2019,4,"Coquimbo",41,"Elqui",4101,"La Serena",1901.22,5.5,NA,NA,NA,NA
"27",2019,4,"Coquimbo",41,"Elqui",4102,"Coquimbo",1431.77,6,NA,NA,NA,NA
