commune,cut,sae_2020,lower_sae_2020,upper_sae_2020
San José De Maipo,13203,0.092423259,0.065618805,0.119227712
Colina,13301,0.085753125,0.057322194,0.114184057
Lampa,13302,0.101971895,0.07117937,0.13276442
Tiltil,13303,0.100484643,0.070512114,0.130457172
San Bernardo,13401,0.106816049,0.07936329,0.134268809
Buin,13402,0.08511277,0.056841869,0.11338367
Calera De Tango,13403,0.092445091,0.062152606,0.122737576
Paine,13404,0.110405459,0.080332205,0.140478712
Melipilla,13501,0.091167006,0.061201124,0.121132889
Alhué,13502,0.071956759,0.044329458,0.099584061
Curacaví,13503,0.095498684,0.064319567,0.1266778
María Pinto,13504,0.102907707,0.072690997,0.133124418
San Pedro,13505,0.132633566,0.091257302,0.174009829
Talagante,13601,0.088646769,0.059381038,0.117912499
El Monte,13602,0.117356656,0.084206782,0.15050653
Isla De Maipo,13603,0.114618465,0.081305013,0.147931917
Padre Hurtado,13604,0.090190726,0.060112696,0.120268757
Peñaflor,13605,0.089819813,0.06150281,0.118136815
Rancagua,6101,0.089317153,0.072635764,0.105998541
Codegua,6102,0.130758182,0.09018699,0.171329375
Coinco,6103,0.132441272,0.096950512,0.167932032
Coltauco,6104,0.111212683,0.080033842,0.142391523
Doñihue,6105,0.091683161,0.062064921,0.1213014
Graneros,6106,0.102715423,0.07177333,0.133657517
Las Cabras,6107,0.111553684,0.079581734,0.143525634
Machalí,6108,0.069787791,0.045824922,0.093750659
Malloa,6109,0.118746283,0.08374805,0.153744516
Mostazal,6110,0.127276848,0.089252182,0.165301513
Olivar,6111,0.10999319,0.078521534,0.141464847
Peumo,6112,0.092159239,0.063539979,0.120778498
Pichidegua,6113,0.115635926,0.08632167,0.144950183
Quinta De Tilcoco,6114,0.131189294,0.096305438,0.16607315
Rengo,6115,0.105376004,0.078192154,0.132559854
Requínoa,6116,0.104912554,0.071132385,0.138692724
San Vicente,6117,0.092421048,0.065860259,0.118981837
Pichilemu,6201,0.107970182,0.077084186,0.138856177
La Estrella,6202,0.075154942,0.041935392,0.108374493
Litueche,6203,0.122073018,0.087203245,0.15694279
Marchihue,6204,0.10887462,0.076484015,0.141265226
Navidad,6205,0.143731597,0.107819235,0.17964396
Paredones,6206,0.135799365,0.095768726,0.175830003
San Fernando,6301,0.089446615,0.066003914,0.112889317
Chépica,6302,0.139576972,0.104553241,0.174600703
Chimbarongo,6303,0.10678804,0.076808227,0.136767852
Lolol,6304,0.143831785,0.107619025,0.180044545
Nancagua,6305,0.127479194,0.09250195,0.162456437
Palmilla,6306,0.100799837,0.071446646,0.130153028
Peralillo,6307,0.11461403,0.082506976,0.146721084
Placilla,6308,0.127302264,0.090112623,0.164491904
Pumanque,6309,0.130852562,0.088347012,0.173358112
Santa Cruz,6310,0.076717754,0.0487185,0.104717009
Talca,7101,0.108306475,0.086586032,0.130026918
Constitución,7102,0.112062281,0.081226312,0.14289825
Curepto,7103,0.127588556,0.092926374,0.162250738
Empedrado,7104,0.164190495,0.124446501,0.203934489
Maule,7105,0.126555151,0.086391196,0.166719105
Pelarco,7106,0.142698777,0.110115263,0.175282291
Pencahue,7107,0.124311144,0.087079595,0.161542693
Río Claro,7108,0.126841911,0.089803213,0.163880609
San Clemente,7109,0.14987021,0.112806822,0.186933598
San Rafael,7110,0.130694095,0.093286964,0.168101226
Cauquenes,7201,0.131231804,0.098982247,0.163481361
Chanco,7202,0.157195535,0.119740405,0.194650664
Pelluhue,7203,0.157245133,0.11618652,0.198303747
Curicó,7301,0.101060099,0.078733801,0.123386397
Hualañé,7302,0.127845713,0.093775127,0.161916298
Licantén,7303,0.131171822,0.095589226,0.166754418
Molina,7304,0.130193593,0.097066183,0.163321003
Rauco,7305,0.140153428,0.104007418,0.176299438
Romeral,7306,0.120457131,0.083584132,0.157330129
Sagrada Familia,7307,0.112825818,0.079983414,0.145668223
Teno,7308,0.127275748,0.0944776,0.160073897
Vichuquén,7309,0.140700712,0.102637707,0.178763717
Linares,7401,0.109418988,0.084140946,0.134697029
Colbún,7402,0.148080114,0.113542366,0.182617861
Longaví,7403,0.164177664,0.125960315,0.202395013
Parral,7404,0.140107768,0.103752392,0.176463144
Retiro,7405,0.170538632,0.13215971,0.208917553
San Javier,7406,0.129266822,0.097031397,0.161502248
Villa Alegre,7407,0.16213036,0.124810211,0.199450508
Yerbas Buenas,7408,0.166980911,0.130626004,0.203335818
Chillán,16101,0.137326402,0.11173113,0.162921674
Bulnes,16102,0.15367307,0.113942058,0.193404083
Chillán Viejo,16103,0.145881655,0.111082208,0.180681102
El Carmen,16104,0.170849065,0.129941969,0.211756161
Pemuco,16105,0.164686023,0.125141651,0.204230395
Pinto,16106,0.15855914,0.119149252,0.197969028
Quillón,16107,0.167713299,0.126217953,0.209208645
San Ignacio,16108,0.186724552,0.145883238,0.227565867
Yungay,16109,0.113530074,0.079186464,0.147873684
Quirihue,16201,0.148905631,0.111301193,0.186510069
Cobquecura,16202,0.191778295,0.145611805,0.237944786
Coelemu,16203,0.125737477,0.0898898,0.161585153
Ninhue,16204,0.140284707,0.101316198,0.179253215
Portezuelo,16205,0.173907517,0.129229752,0.218585282
Ránquil,16206,0.152613033,0.113229659,0.191996408
Treguaco,16207,0.189253686,0.137680045,0.240827327
San Carlos,16301,0.144915933,0.109895751,0.179936115
Coihueco,16302,0.166529663,0.126584594,0.206474732
Ñiquén,16303,0.191820755,0.154411009,0.229230501
San Fabián,16304,0.186760041,0.141417796,0.232102287
San Nicolás,16305,0.102217248,0.059580816,0.14485368
Concepción,8101,0.109332294,0.089228513,0.129436075
Coronel,8102,0.138152362,0.110396518,0.165908206
Chiguayante,8103,0.108746611,0.082200103,0.13529312
Florida,8104,0.159212273,0.117712151,0.200712394
Hualqui,8105,0.172408122,0.135652565,0.209163678
Lota,8106,0.144513243,0.110170059,0.178856427
Penco,8107,0.125114876,0.092778162,0.15745159
San Pedro De La Paz,8108,0.12213153,0.095078387,0.149184674
Santa Juana,8109,0.138333967,0.10543264,0.171235293
Talcahuano,8110,0.114712075,0.092438441,0.136985709
Tomé,8111,0.138139056,0.106509132,0.16976898
Hualpén,8112,0.103759943,0.076487504,0.131032381
Lebu,8201,0.172808825,0.134633006,0.210984645
Arauco,8202,0.130480119,0.09694509,0.164015148
Cañete,8203,0.186634486,0.148432927,0.224836045
Contulmo,8204,0.16828565,0.123573738,0.212997562
Curanilahue,8205,0.136839623,0.104406625,0.169272622
