"CUT_REG","REGION","CUT_PROV","PROVINCIA","CUT_COM","COMUNA","SUPERFICIE"
6,"Libertador General Bernardo O'Higgins","062","Cardenal Caro","06203","Litueche",613.64
6,"Libertador General Bernardo O'Higgins","062","Cardenal Caro","06204","Marchihue",657.65
6,"Libertador General Bernardo O'Higgins","062","Cardenal Caro","06205","Navidad",301.4
6,"Libertador General Bernardo O'Higgins","062","Cardenal Caro","06206","Paredones",572.51
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06301","San Fernando",2321.18
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06302","Chépica",477.33
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06303","Chimbarongo",509.03
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06304","Lolol",596.92
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06305","Nancagua",151.21
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06306","Palmilla",235.79
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06307","Peralillo",283.03
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06308","Placilla",144.4
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06309","Pumanque",441.31
6,"Libertador General Bernardo O'Higgins","063","Colchagua","06310","Santa Cruz",393.53
7,"Maule","071","Talca","07101","Talca",232.05
7,"Maule","071","Talca","07102","Constitución",1339.62
7,"Maule","071","Talca","07103","Curepto",1070.81
7,"Maule","071","Talca","07104","Empedrado",565.5
7,"Maule","071","Talca","07105","Maule",243.05
7,"Maule","071","Talca","07106","Pelarco",330.93
7,"Maule","071","Talca","07107","Pencahue",956.23
7,"Maule","071","Talca","07108","Río Claro",434.71
7,"Maule","071","Talca","07109","San Clemente",4500.58
7,"Maule","071","Talca","07110","San Rafael",261.97
7,"Maule","072","Cauquenes","07201","Cauquenes",2126.16
7,"Maule","072","Cauquenes","07202","Chanco",528.01
7,"Maule","072","Cauquenes","07203","Pelluhue",369.56
7,"Maule","073","Curicó","07301","Curicó",1334.33
7,"Maule","073","Curicó","07302","Hualañé",629.36
7,"Maule","073","Curicó","07303","Licantén",273.01
7,"Maule","073","Curicó","07304","Molina",1516.82
7,"Maule","073","Curicó","07305","Rauco",306.73
7,"Maule","073","Curicó","07306","Romeral",1602.87
7,"Maule","073","Curicó","07307","Sagrada Familia",554.88
7,"Maule","073","Curicó","07308","Teno",618.52
7,"Maule","073","Curicó","07309","Vichuquén",452
7,"Maule","074","Linares","07401","Linares",1466.62
7,"Maule","074","Linares","07402","Colbún",2926.88
7,"Maule","074","Linares","07403","Longaví",1453.37
7,"Maule","074","Linares","07404","Parral",1638.81
